id	x	y	cluster	weight<Links>	weight<Total link strength>
A22D	1.5067	-0.1291	5	3	3
A22E	0.9109	-0.629	5	1	1
A22K	1.495	-0.0428	5	4	10
A22L	1.0791	-0.4803	5	2	3
A22Q	-0.2947	-0.1037	2	2	3
A23A	1.2813	-0.225	5	6	9
A23B	0.9085	-0.3471	5	558	225380
A23C	1.1844	-0.1109	5	479	282813
A23D	1.3912	-0.1346	5	311	162732
A23E	1.2839	-0.0696	5	5	5
A23F	0.9871	-0.2582	5	419	126093
A23G	1.0391	-0.1935	5	566	297084
A23H	0.8323	-0.0204	5	18	30
A23I	1.1667	-0.162	5	28	41
A23J	1.268	-0.0635	5	376	174944
A23K	1.352	-0.0223	5	506	474879
A23L	1.1303	-0.1374	5	719	1842271
A23M	0.6013	-0.381	4	15	23
A23N	0.7751	-0.3611	5	487	150273
A23P	1.0511	-0.1582	5	483	220248
A23Q	1.5223	-0.1094	5	2	2
A23R	1.8586	0.3013	5	1	1
A23S	1.3057	-0.2375	5	2	2
A24B	0.613	-0.1314	4	467	93410
A24C	0.4572	-0.417	4	399	54685
A24D	0.4879	-0.3287	4	411	86482
A24E	-0.1088	-0.5434	1	3	3
A24F	0.3297	-0.3285	4	517	123474
A24H	0.4615	-0.4705	4	1	1
A24M	0.8629	-0.2212	4	4	4
A24P	0.4626	-0.4402	4	2	2
A25B	-0.6109	-0.6831	4	4	8
A25C	0.7587	-0.5415	5	4	6
A25D	-0.2034	-0.1163	4	8	8
A25F	0.5293	0.1435	3	4	4
A25G	-0.574	-0.3397	1	5	5
A25J	-0.1213	-0.2073	6	8	8
A25N	1.1008	0.0872	5	2	3
A26B	0.2667	-0.2748	4	12	15
A26C	0.0578	-0.4289	4	4	4
A26D	0.2223	-0.5276	6	2	2
A26G	1.2986	-0.2602	5	1	1
A26M	0.4868	-0.1216	4	2	4
A26N	1.1335	-0.1945	5	4	4
A27B	0.4959	-0.4578	4	6	6
A27C	0.1087	-0.5408	4	9	11
A27F	0.3209	-0.2758	4	6	6
A27G	0.2584	-0.0319	3	3	3
A27J	0.513	-0.5883	4	3	5
A27L	1.2281	-0.0449	5	11	11
A27M	0.1208	-0.7173	6	2	2
A28B	1.4194	0.0366	5	8	8
A28D	-0.2972	-0.5008	1	4	4
A28F	-0.2663	-0.3334	1	1	1
A29B	0.5812	-0.2174	3	6	6
A29C	0.2552	-0.3673	3	4	7
A29D	0.6382	-0.4034	3	7	7
A29F	0.4714	-0.352	3	3	3
A29H	0.0802	-0.1346	3	2	2
A29J	0.285	-0.5299	6	2	2
A29K	1.5502	0.1329	5	3	3
A30A	0.1954	0.4207	4	1	2
A30B	1.2759	-0.3002	5	3	3
A30D	0.3356	0.1185	4	7	17
A30E	-0.5838	-0.3734	1	6	7
A30H	1.4003	0.1146	5	10	16
A30K	0.6268	-0.1424	4	12	15
A31D	1.0221	-0.5145	5	6	6
A31F	0.7185	-0.0078	3	8	9
A31K	1.4727	0.2676	5	17	86
A31L	0.95	-0.0631	4	1	1
A31P	1.4466	0.2166	5	4	11
A32A	0.727	-0.9754	4	1	1
A32B	0.5851	-0.1749	3	31	52
A32C	1.4256	-0.174	5	6	6
A32D	1.575	-0.1306	5	3	3
A32G	1.2984	-0.2604	5	1	1
A32J	1.5319	-0.1636	5	3	3
A32L	1.4497	0.0373	5	10	14
A32N	1.0397	-0.3034	5	5	5
A33C	-0.4041	-0.1631	4	1	1
A33D	-0.3961	-0.9019	4	1	1
A33L	0.7898	-0.3204	5	2	2
A34B	0.3748	-0.7233	4	4	4
A34C	0.4063	-0.4329	4	5	12
A34E	-0.7505	-0.9517	1	1	1
A34F	1.2387	-0.3439	5	1	1
A34G	-0.6784	-0.7858	4	1	1
A34H	-0.5574	-0.6663	4	1	1
A34I	-0.543	-0.684	4	2	2
A34K	0.2064	-1.205	4	1	4
A34L	-0.3943	-0.4871	4	2	3
A35B	-0.6523	-0.8032	4	2	4
A35K	1.5499	0.2391	5	1	1
A36B	0.0215	-0.1492	4	4	7
A36F	-0.3291	0.5837	2	2	2
A36G	-0.1945	0.3606	4	2	2
A36H	-0.4867	0.4163	2	2	2
A36K	1.5019	0.2883	5	3	3
A37B	0.812	0.0883	3	3	3
A37D	0.5543	0.032	3	6	6
A37G	1.3575	0.2136	5	2	2
A37J	0.4792	-0.761	4	1	1
A37K	1.4508	0.2046	5	1	1
A37M	0.5211	-0.0911	4	2	6
A38K	1.5846	0.2935	5	3	3
A40B	-0.2613	-0.5771	4	5	5
A40C	-0.5496	-0.4814	4	4	5
A40G	0.1751	-0.6317	4	2	2
A40K	0.1482	-0.8644	4	2	4
A40L	0.0937	-0.7181	4	2	2
A40Q	-0.6513	1.26	2	1	1
A41A	-0.6144	-0.1595	7	4	4
A41B	0.5108	-0.6025	4	439	109582
A41C	0.574	-0.757	4	294	31348
A41D	0.1868	-0.4251	4	616	362056
A41E	-0.6785	-0.7855	4	1	1
A41F	0.1695	-0.4933	4	372	41336
A41G	0.1293	-0.5825	7	396	22854
A41H	0.1672	-0.4295	4	406	64607
A41J	-0.0407	0.0279	4	42	63
A41K	0.8882	-0.0981	5	10	16
A41L	0.7238	-0.6464	4	7	7
A41M	0.239	-0.5102	4	18	36
A41O	0.3655	-0.5948	3	4	4
A41P	0.1111	0.1545	4	3	3
A41Q	0.1817	-0.8085	7	1	1
A42A	-0.0441	-0.6363	4	3	3
A42B	-0.0573	-0.3127	4	475	85994
A42C	-0.0929	-0.37	4	256	12599
A42D	-0.1085	-0.0535	4	14	23
A42F	-0.1024	-0.2816	4	10	21
A42G	-0.1351	-0.5881	4	7	8
A42J	0.4252	-0.217	5	5	5
A42K	0.2058	-1.2043	4	1	1
A43A	0.4004	-0.6303	4	3	4
A43B	0.3535	-0.5364	4	568	184884
A43C	0.4945	-0.7141	4	352	40989
A43D	0.2764	-0.4492	4	445	50773
A43E	0.6966	-0.6142	5	3	3
A43F	-0.2061	0.0927	4	4	5
A43G	-0.055	-0.4677	4	4	6
A43H	-0.5676	0.4385	2	2	2
A43J	0.6551	-0.4497	3	1	1
A43K	0.0293	-0.6672	4	11	16
A43L	0.1201	-0.3586	4	17	24
A43O	0.6345	-0.934	4	1	1
A43Y	0.5564	-0.8377	4	2	2
A44A	-0.211	-0.3369	4	2	2
A44B	-0.0214	-0.3474	4	579	148070
A44C	-0.2967	-0.1261	4	534	91481
A44D	0.1608	-0.4805	4	16	19
A44E	-0.4041	-0.1634	4	1	1
A44F	-0.1981	-0.3351	3	5	5
A44G	-0.2888	-0.1889	4	9	16
A44H	0.1134	-0.5651	4	2	2
A44L	-0.6329	0.3104	2	4	4
A44V	-0.5085	0.2924	2	7	7
A45A	-0.4275	-0.3297	1	5	13
A45B	-0.6072	-0.6956	4	459	35469
A45C	-0.2562	-0.5833	4	593	206127
A45D	0.1865	-0.5595	4	608	266551
A45E	-0.2644	-0.7252	4	8	13
A45F	-0.309	-0.6648	4	496	107545
A45G	-0.2109	-0.4894	4	17	25
A45H	0.7434	-0.0913	5	1	6
A45J	-0.4855	-0.4698	1	2	2
A45K	-0.0763	-0.4593	1	4	4
A45L	0.3823	-0.1462	5	13	17
A45O	0.1112	0.1543	4	3	3
A45P	-0.3641	-0.8566	4	2	2
A45R	-0.6545	-0.8795	4	3	4
A45S	-0.1998	-0.0507	4	4	4
A45T	-0.3039	0.1987	4	2	2
A46B	0.1875	-0.6573	4	566	146133
A46C	-0.0972	-0.6013	4	26	43
A46D	0.2264	-0.5754	4	376	35266
A46F	-0.2093	-0.5989	4	10	11
A46G	-0.2249	-0.4884	4	9	11
A46K	0.1733	-0.6823	4	6	6
A46L	0.2355	-0.779	4	5	9
A46R	0.254	-0.8926	4	1	1
A47A	-0.1378	-0.7148	4	7	7
A47B	-0.2994	-0.395	4	690	534981
A47C	-0.525	-0.5802	4	642	371570
A47D	-0.4219	-0.4747	4	395	46831
A47E	-0.3947	-0.6343	4	15	30
A47F	-0.2373	-0.3453	4	596	228035
A47G	-0.0973	-0.4318	4	712	491270
A47H	-0.5952	-0.7293	1	442	41571
A47I	0.1309	-0.5739	4	13	15
A47J	0.1406	-0.4557	4	681	483967
A47K	0.1597	-0.94	4	637	351326
A47L	0.0444	-0.7301	4	659	365893
A47N	-0.2955	-0.3677	4	8	9
A47O	-0.1557	-0.5968	4	2	2
A47P	0.1449	-0.6313	4	4	4
A47Q	-0.0623	-0.4856	4	4	6
A47R	-0.2694	-0.5371	4	14	20
A47S	0.0016	-0.5011	4	10	14
A47T	0.326	-0.4617	4	4	5
A47U	0.2037	-0.6521	4	1	1
A47V	-0.5431	-0.6837	4	2	2
A47X	0.2056	-1.2049	4	1	1
A47Z	0.065	-0.9802	4	1	2
A48B	-0.434	-0.0799	4	4	4
A48G	-0.245	-0.5072	4	4	6
A48J	0.1461	-0.741	4	3	4
A49B	0.4344	-0.4308	4	4	5
A49C	-0.6788	-0.7853	4	1	1
A49G	-0.3516	-0.4638	4	3	6
A49H	-0.7373	0.0216	1	1	2
A49J	-0.5181	-0.4861	4	2	2
A49L	-0.3018	-0.6767	1	3	3
A51B	0.0922	0.4428	4	10	18
A51D	0.3577	-0.366	4	4	4
A51F	0.3534	-0.2356	4	5	6
A51G	0.3997	-0.5203	7	2	2
A51H	-0.0444	0.064	2	4	5
A51J	0.4517	-0.2387	4	1	3
A51K	1.3865	0.1794	5	18	75
A51M	0.116	-0.0668	4	4	7
A51N	0.402	0.4126	4	1	1
A51P	1.3882	0.2107	5	3	3
A53B	-0.2063	-0.1963	4	3	5
A53C	1.1467	-0.4587	5	1	1
A53D	-0.208	-0.4232	1	7	7
A53E	1.3831	-0.1898	5	3	4
A53G	1.5837	0.0056	5	4	8
A53H	1.6786	-0.1723	5	1	1
A54C	-0.4493	-0.3051	4	3	4
A54D	0.2588	-0.778	4	1	1
A56B	0.2558	-0.855	4	2	3
A56C	-0.1278	-0.6511	4	2	2
A56M	0.3613	-0.0359	4	1	1
A57G	-0.7205	-0.3007	1	3	4
A57J	0.0421	-0.6402	4	2	2
A59C	-0.3311	-0.8104	4	1	1
A60B	-0.0613	0.0901	4	6	7
A60C	-0.3348	0.5928	3	2	2
A60D	-0.1282	-0.7249	1	1	1
A60F	0.7836	-0.1323	4	2	2
A60G	-0.6092	0.3841	2	1	1
A60K	-0.1688	-0.1344	1	17	33
A60N	-0.312	-0.3533	1	13	17
A60P	-0.933	-0.412	1	2	2
A60R	-0.2386	-0.2816	4	8	8
A60S	-1.1636	-0.2626	1	1	1
A61A	0.8635	0.29	5	25	41
A61B	0.1306	0.2852	4	778	2641892
A61C	0.2097	-0.0634	4	591	294668
A61D	0.449	0.1056	4	443	74273
A61E	0.7434	0.0598	4	30	90
A61F	0.4392	-0.1437	4	765	1491086
A61G	-0.3036	-0.2648	4	601	356859
A61H	-0.1995	-0.2851	4	610	445006
A61I	0.7714	-0.0496	4	30	44
A61J	0.3197	-0.1673	4	595	412526
A61K	1.1749	0.1613	5	939	12946242
A61L	0.7279	-0.0442	4	755	1735102
A61M	0.2551	-0.0364	4	730	1426329
A61N	0.2875	0.2784	4	643	589085
A61O	0.1949	0.4206	4	1	1
A61P	1.2655	0.1891	5	733	8950548
A61Q	1.1953	0.0931	5	587	1621824
A61R	1.5679	0.2493	5	50	261
A61S	0.3068	-0.0366	4	8	16
A61T	0.4685	-0.1731	4	8	10
A61U	0.9341	0.1074	5	4	5
A61V	1.262	0.1694	5	11	18
A61W	0.3911	0.2724	4	6	10
A61X	1.3932	0.0331	5	9	19
A61Y	1.4846	0.216	5	2	3
A61Z	0.3003	-0.0768	4	1	1
A62B	-0.2038	-0.2771	1	623	210624
A62C	-0.4104	-0.1885	1	638	231490
A62D	0.4622	-0.0164	3	526	136302
A62E	-0.6557	0.4469	2	1	1
A62F	0.1132	0.4382	2	11	15
A62G	-0.0034	-0.2921	4	5	5
A62H	-0.3568	0.5769	2	10	11
A62J	0.4247	-0.1392	4	9	9
A62K	1.2638	0.2141	5	24	86
A62L	0.1464	-0.1352	4	19	25
A62M	0.2273	-0.2419	4	11	18
A62N	0.4866	-0.1218	4	2	2
A62P	1.0856	0.0526	5	6	9
A63A	-0.2448	0.224	2	6	7
A63B	-0.2135	0.0275	4	672	360985
A63C	-0.2607	-0.1337	4	526	69509
A63D	-0.2843	-0.0154	4	336	11579
A63E	-0.395	0.4618	2	6	13
A63F	-0.3256	0.4644	2	604	339132
A63G	-0.5064	0.0465	4	425	39833
A63H	-0.3407	0.2125	2	643	158889
A63J	-0.4057	0.2088	2	388	24696
A63K	-0.27	0.0454	4	232	4671
A63L	0.5615	-0.1547	4	18	30
A63M	-0.3336	0.4064	2	3	7
A63N	-0.3347	0.0855	2	7	8
A63O	-0.4983	0.1907	4	3	3
A63P	-0.3975	0.6005	2	4	4
A63Q	-0.5617	-0.1066	4	3	4
A63R	-0.248	0.1784	4	3	8
A63S	-0.2576	0.3399	2	5	13
A63T	-0.5666	0.3621	4	2	2
A64B	-0.2777	-0.3617	4	23	42
A64C	-0.3415	-0.3665	1	7	7
A64D	0.1054	-0.1352	4	8	8
A64F	0.1506	-0.038	3	8	11
A64G	-0.5519	-0.5988	4	2	2
A64H	-0.486	-0.0272	2	6	8
A64J	0.7835	-0.1324	4	2	2
A64K	1.4021	0.2322	5	12	36
A64M	0.9447	0.0521	5	4	4
A65B	-0.0579	-0.1875	4	22	27
A65C	-0.1184	-0.1855	4	8	8
A65D	0.1497	-0.3114	4	47	90
A65F	-0.3293	0.5834	2	2	4
A65G	-0.1481	-0.0658	4	8	14
A65H	0.1579	-0.6489	3	7	11
A65K	1.2972	0.1533	5	17	33
A65L	0.7835	-0.132	4	2	2
A65M	0.3611	-0.0361	4	1	2
A65N	-0.0736	0.3534	2	1	1
A66A	0.8211	-0.6312	5	1	1
A66B	-0.0023	-0.0471	4	23	32
A66C	-0.3469	-0.2224	1	17	18
A66D	-0.2718	-0.3988	1	1	1
A66F	-1.0375	-0.5384	1	1	1
