id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A23D,1.5821,-0.1792,3,286,162609,EDIBLE OILS OR FATS. e.g. MARGARINES. SHORTENINGS OR COOKING OILS (preservation thereof A23B0020000000;production. refinement or preservation of animal or vegetable fats or oils C11B. C11C),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A23F,1.3019,-0.0987,3,402,125950,COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE. PREPARATION. OR INFUSION THEREOF,1,1,0,0,5,5,18,18,15,15,10,10,9,9,16,16,11,11,12,12
A23G,1.2886,-0.1284,3,512,296299,COCOA; COCOA PRODUCTS. e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF,3,3,6,6,5,5,4,4,11,11,10,10,7,7,7,7,6,6,6,6
A23J,1.5237,-0.2143,3,343,173661,PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS,0,0,0,0,0,0,2,2,1,1,2,2,9,9,3,3,2,2,1,1
A23K,1.3561,-0.169,3,453,472149,FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS; METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF,1,1,11,11,7,7,6,6,7,7,9,9,11,11,6,6,9,9,7,7
A23L,1.2221,-0.1205,3,599,1838570,FOODS. FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES. NOT OTHERWISE PROVIDED FOR; PREPARATION OR TREATMENT THEREOF (preservation thereof A23B),9,9,14,14,47,47,44,44,59,59,57,57,75,75,44,44,38,38,27,27
A23N,0.9623,0.0257,3,456,149980,MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT. VEGETABLES. OR FLOWER BULBS IN BULK. NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS (machines for cutting straw or fodder A01F0029000000;disintegrating. e.g. shredding. B02C;severing. e.g. cutting. splitting. slicing. B26B. B26D),4,4,44,44,68,68,63,63,51,51,47,47,54,54,28,28,28,28,21,21
A23P,1.3208,-0.1311,3,454,219990,SHAPING OR WORKING OF FOODSTUFFS. NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS,2,2,3,3,29,29,4,4,30,30,18,18,21,21,8,8,10,10,5,5
A24B,0.9598,-0.3199,2,442,93301,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF,1,1,6,6,5,5,8,8,18,18,31,31,25,25,37,37,50,50,25,25
A24C,0.6592,-0.424,2,387,54652,MACHINES FOR MAKING CIGARS OR CIGARETTES,7,7,1,1,7,7,5,5,10,10,6,6,20,20,13,13,18,18,18,18
A24D,0.7833,-0.4145,2,396,86417,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES,1,1,0,0,1,1,0,0,1,1,2,2,12,12,4,4,4,4,0,0
A24F,0.4514,-0.2643,2,496,123432,SMOKERS’ REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes. shaped like cigars. cigarettes or pipes A61M0015060000),14,14,4,4,10,10,17,17,11,11,32,32,22,22,16,16,20,20,13,13
