id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
B31F,0.2891,-0.6204,2,450,89401,MECHANICAL WORKING OR DEFORMATION OF PAPER. CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making layered products not composed wholly of paper or cardboard B32B),1,1,13,13,10,10,9,9,2,2,1,1,7,7,2,2,6,6,2,2
B32B,0.133,-0.3018,2,637,3425227,LAYERED PRODUCTS. i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT. e.g. CELLULAR OR HONEYCOMB. FORM,39,39,56,56,66,66,65,65,62,62,76,76,67,67,69,69,34,34,17,17
B33Y,0.2484,-0.1113,2,562,358984,ADDITIVE MANUFACTURING. i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION. ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING. e.g. BY 3D PRINTING. STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING,55,55,108,108,192,192,258,258,330,330,309,309,300,300,271,271,283,283,169,169
B41B,-0.6973,-0.6403,1,360,24689,MACHINES OR ACCESSORIES FOR MAKING. SETTING. OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRONIC COMPOSING DEVICES (photographic devices in general G03),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41C,-0.0988,-0.8169,2,380,102110,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES (photomechanical processes for producing printing surfaces G03F;photoelectrical processes for producing printing surfaces G03G),3,3,2,2,1,1,8,8,4,4,5,5,7,7,5,5,2,2,1,1
B41D,-0.0406,-0.8965,2,186,4811,APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING; SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES (marking or engraving metal by the action of a high concentration of electric current B23H0009060000;type. machines. or accessories for making. setting. or distributing type B41B;processes for the manufacture or reproduction of printing surfaces B41C;machines or apparatus for engraving in general. or for embossing B44B0003000000. B44B0005000000;chemical etching of metal C23F0001000000;electrolytic etching C25F0003000000;photomechanical reproduction G03F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B41F,-0.1376,-0.6987,2,577,303898,PRINTING MACHINES OR PRESSES (manifolding devices or office printing machines B41L),32,32,28,28,27,27,49,49,52,52,45,45,68,68,38,38,47,47,18,18
B41G,-0.108,-0.9926,2,164,4287,APPARATUS FOR BRONZE PRINTING. LINE PRINTING. OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES; AUXILIARY APPARATUS FOR PERFORATING IN CONJUNCTION WITH PRINTING (perforating in general B26D;production of decorations B44C;perforating in conjunction with sheet or web delivery B65H0035000000;folding or unfolding thin material. e.g. sheets. webs. B65H0045000000. B65H0047000000),0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
B41J,-0.3393,-0.5091,2,594,1248202,TYPEWRITERS; SELECTIVE PRINTING MECHANISMS. i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS,708,708,775,775,703,703,658,658,604,604,609,609,491,491,447,447,245,245,112,112
B41K,-0.3332,-0.7565,2,414,40581,STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES (marking meat A22C0017100000;embossing combined with printing B41F0019000000;selective printing mechanisms B41J;embossing decorations or marks B44B0005000000;marking or coding completed packages B65B0061260000;ticket printing and issuing. fare registering. non-printing aspects of franking apparatus G07B),6,6,5,5,5,5,16,16,25,25,13,13,15,15,10,10,4,4,2,2
B41L,-0.4197,-0.8295,2,377,57005,APPARATUS OR DEVICES FOR MANIFOLDING. DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES (printing presses or machines for industrial purposes B41F;stamps. stamping or numbering devices B41K),0,0,1,1,0,0,2,2,3,3,1,1,1,1,1,1,1,1,0,0
B41M,0.0187,-0.6106,2,558,667992,PRINTING. DUPLICATING. MARKING. OR COPYING PROCESSES; COLOUR PRINTING (correction of typographical errors B41J;processes for applying transfer pictures or the like B44C0001160000;fluid media for correction of typographical errors by coating C09D0010000000;printing textiles D06P),30,30,44,44,45,45,37,37,28,28,31,31,32,32,40,40,35,35,19,19
B41N,-0.0071,-0.7796,2,400,107510,PRINTING PLATES OR FOILS (photosensitive materials G03); MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING. INKING. DAMPING. OR THE LIKE; PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM,0,0,0,0,0,0,1,1,0,0,0,0,4,4,1,1,0,0,0,0
B42B,-0.3119,-0.8841,2,263,26333,PERMANENTLY ATTACHING TOGETHER SHEETS. QUIRES. OR SIGNATURES. OR PERMANENTLY ATTACHING OBJECTS THERETO (nailing or stapling in general B25C. B27F;machines for both collating or gathering and permanently attaching together sheets or signatures B42C0001120000;temporarily attaching sheets together B42F),1,1,8,8,26,26,11,11,2,2,4,4,0,0,1,1,0,0,2,2
B42C,-0.4202,-0.8188,2,302,66526,BOOKBINDING (cutting or perforating machines. devices. or tools B26;folding sheets or webs B31F;ornamenting books B44),0,0,7,7,11,11,9,9,3,3,2,2,5,5,3,3,1,1,1,1
B42D,-0.5105,-0.6071,2,518,357954,BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR READING APPARATUS,9,9,22,22,12,12,14,14,10,10,23,23,16,16,12,12,8,8,8,8
B42F,-0.4443,-0.6686,2,452,68429,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B0019000000;book rests A47B0023000000),0,0,3,3,2,2,2,2,1,1,3,3,4,4,1,1,0,0,0,0
B43K,-0.1718,-0.5804,2,489,76282,IMPLEMENTS FOR WRITING OR DRAWING (containers. casings or accessories for cosmetic substances. e.g. shaving soap. lipstick. make-up. A45D0034000000. A45D0040000000),0,0,8,8,11,11,5,5,7,7,12,12,13,13,5,5,4,4,2,2
B43L,-0.4373,-0.5328,2,487,106035,ARTICLES FOR WRITING OR DRAWING UPON; ACCESSORIES FOR WRITING OR DRAWING (workshop equipment for marking-out work B25H0007000000;teaching hand-writing or drawing G09B0011000000),4,4,13,13,13,13,25,25,29,29,32,32,35,35,11,11,15,15,6,6
B43M,-0.1953,-0.667,2,357,34695,BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR (stapling devices B25C. B27F;devices for temporarily attaching sheets together B42F;adhesive tape dispensers B65H0035070000),0,0,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0
B44B,-0.0413,-0.4701,5,432,45209,MACHINES. APPARATUS OR TOOLS FOR ARTISTIC WORK. e.g. FOR SCULPTURING. GUILLOCHING. CARVING. BRANDING OR INLAYING (ornamenting leather C14B),0,0,8,8,19,19,15,15,16,16,8,8,10,10,7,7,5,5,2,2
B44C,0.0428,-0.4803,2,571,316863,PRODUCING DECORATIVE EFFECTS (processes for applying liquids or other fluent materials to surfaces. in general B05D;shaping of plastics or substances in a plastic state B29C;printing processes to produce transfer pictures B41M0003120000;thermographic duplication or marking methods B41M0005000000); MOSAICS; TARSIA WORK (imitation of mosaic or tarsia-work patterns B44F0011040000); PAPERHANGING,3,3,14,14,23,23,8,8,31,31,17,17,14,14,12,12,11,11,5,5
B44D,0.1778,-0.4356,2,524,74036,PAINTING OR ARTISTIC DRAWING. NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES (surface treatment in general. see the relevant places. e.g. applying liquids or other fluent materials B05),6,6,9,9,25,25,19,19,23,23,13,13,21,21,10,10,6,6,2,2
B44F,-0.0459,-0.5907,2,478,114644,SPECIAL DESIGNS OR PICTURES,0,0,3,3,3,3,2,2,0,0,2,2,2,2,3,3,0,0,0,0
B60B,-0.418,0.2962,4,561,233398,VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000. by forging. hammering or pressing B21K0001280000); CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION,63,63,118,118,130,130,175,175,202,202,293,293,249,249,236,236,246,246,97,97
B60C,0.0614,-0.1841,2,559,364552,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES,20,20,15,15,30,30,43,43,59,59,56,56,70,70,77,77,63,63,19,19
B60D,-0.6679,0.5433,4,382,53001,VEHICLE CONNECTIONS (components of brake systems B60T0017040000),7,7,19,19,14,14,33,33,42,42,32,32,29,29,24,24,36,36,15,15
B60F,-0.7525,0.6912,4,311,31073,VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA. e.g. AMPHIBIOUS VEHICLES (air-cushion vehicles B60V),43,43,85,85,94,94,114,114,152,152,213,213,192,192,277,277,301,301,126,126
B60G,-0.6005,0.5044,4,488,225141,VEHICLE SUSPENSION ARRANGEMENTS (air-cushion vehicles B60V;connections between vehicle bodies and vehicle frames B62D0024000000),43,43,93,93,140,140,172,172,232,232,277,277,233,233,278,278,278,278,98,98
B60H,-0.1871,0.5948,4,519,305487,ARRANGEMENTS OF HEATING. COOLING. VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES,8,8,39,39,76,76,65,65,57,57,75,75,83,83,100,100,65,65,45,45
B60J,-0.5167,0.1364,6,539,395321,WINDOWS. WINDSCREENS. NON-FIXED ROOFS. DOORS. OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES (fastening. suspending. closing. or opening of such devices E05),35,35,59,59,50,50,43,43,56,56,41,41,67,67,51,51,38,38,11,11
B60K,-0.4772,0.4575,4,586,1406723,ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING. AIR INTAKE. GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES,174,174,294,294,382,382,441,441,573,573,666,666,503,503,562,562,469,469,195,195
B60L,-0.6274,0.4077,4,528,855670,PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000. B60K0006200000;arrangements or mounting of electrical gearing in vehicles B60K0017120000. B60K0017140000;preventing wheel slip by reducing power in rail vehicles B61C0015080000;dynamo-electric machines H02K;control or regulation of electric motors H02P); SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES (electric coupling devices combined with mechanical couplings of vehicles B60D0001640000;electric heating for vehicles B60H0001000000); ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL (control or regulation of electric motors H02P); MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES,204,204,251,251,554,554,633,633,1194,1194,1314,1314,1538,1538,1432,1432,1089,1089,588,588
B60M,-0.7421,0.4149,4,375,51791,POWER SUPPLY LINES. OR DEVICES ALONG RAILS. FOR ELECTRICALLY-PROPELLED VEHICLES (control of points or safety arrangements along railway lines B61L;construction of rails or points in general E01B),17,17,26,26,19,19,10,10,21,21,33,33,28,28,11,11,14,14,6,6
B60N,-0.4368,-0.0211,6,534,343567,SEATS SPECIALLY ADAPTED FOR VEHICLES; VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR,20,20,60,60,69,69,84,84,116,116,94,94,76,76,90,90,61,61,26,26
B60P,-0.4097,0.3354,4,583,310418,VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT. TO CARRY. OR TO COMPRISE SPECIAL LOADS OR OBJECTS (vehicles with special provisions for transporting patients or disabled persons. or their personal conveyances A61G0003000000),46,46,89,89,212,212,350,350,344,344,427,427,431,431,451,451,424,424,176,176
B60Q,-0.7159,0.143,1,513,435993,ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES. THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR. FOR VEHICLES IN GENERAL,188,188,340,340,358,358,406,406,523,523,486,486,390,390,395,395,310,310,114,114
B60R,-0.5023,0.1549,4,624,1688486,VEHICLES. VEHICLE FITTINGS. OR VEHICLE PARTS. NOT OTHERWISE PROVIDED FOR (fire prevention. containment or extinguishing specially adapted for vehicles A62C0003070000),685,685,1081,1081,1104,1104,1110,1110,1404,1404,1307,1307,1193,1193,1025,1025,915,915,418,418
B60S,-0.3734,0.2812,4,533,237942,SERVICING. CLEANING. REPAIRING. SUPPORTING. LIFTING. OR MANOEUVRING OF VEHICLES. NOT OTHERWISE PROVIDED FOR,68,68,83,83,175,175,263,263,233,233,270,270,222,222,331,331,285,285,133,133
B60T,-0.6714,0.5661,4,543,457245,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF. IN GENERAL (control of electrodynamic brake systems B60L0007000000;conjoint control of brakes and other drive units of vehicles B60W); ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES,145,145,212,212,179,179,167,167,259,259,225,225,205,205,202,202,158,158,66,66
B60V,-0.4212,0.5206,4,289,15848,AIR-CUSHION VEHICLES,4,4,2,2,0,0,1,1,1,1,4,4,4,4,0,0,1,1,0,0
B60W,-0.6708,0.436,4,440,786809,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT,562,562,1008,1008,1571,1571,1802,1802,2758,2758,3378,3378,3522,3522,3627,3627,2487,2487,1170,1170
B61B,-0.6673,0.4913,4,486,121718,RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR (lifts or hoists. elevators. escalators. moving walkways B66B),4,4,15,15,31,31,46,46,71,71,78,78,64,64,51,51,39,39,20,20
B61C,-0.8208,0.6555,4,411,61449,LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60;frames or bogies B61F;special railroad equipment for locomotives B61J. B61K),5,5,7,7,8,8,42,42,33,33,36,36,29,29,41,41,23,23,18,18
B61D,-0.6811,0.531,4,527,161049,BODY DETAILS OR KINDS OF RAILWAY VEHICLES (vehicles in general B60; adaptation of vehicles to special systems B61B; underframes B61F),4,4,18,18,20,20,44,44,72,72,100,100,90,90,62,62,75,75,33,33
B61F,-0.8094,0.6771,4,407,59970,RAIL VEHICLE SUSPENSIONS. e.g. UNDERFRAMES. BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS. OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES (for vehicles in general B60;axles or wheels B60B;vehicle tyres B60C),8,8,7,7,8,8,14,14,17,17,26,26,20,20,27,27,24,24,8,8
B61G,-0.8357,0.6878,4,319,22936,COUPLINGS SPECIALLY ADAPTED FOR RAILWAY VEHICLES; DRAUGHT OR BUFFING APPLIANCES SPECIALLY ADAPTED FOR RAILWAY VEHICLES,1,1,4,4,0,0,2,2,7,7,7,7,18,18,9,9,18,18,9,9
B61H,-0.8399,0.7404,4,326,39789,BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES; ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES (electrodynamic braking of vehicles B60L. in general H02K;arrangements in rail vehicles for adjusting wheel-braking force to meet varying vehicular or permanent-way conditions B60T0008000000;transmitting braking action from initiating means to ultimate brake actuator with power assistance or drive. brake systems incorporating such transmitting means. e.g. air-pressure brake systems. B60T0013000000;construction. arrangement or operation of valves incorporated in power brake systems B60T0015000000;component parts. details or accessories of brake systems B60T0017000000;brakes in general F16D),0,0,0,0,3,3,5,5,4,4,9,9,15,15,13,13,11,11,1,1
B61J,-0.8219,0.6487,4,251,10151,SHIFTING OR SHUNTING OF RAIL VEHICLES (shifting vehicles in general B60S;marshalling systems B61B),0,0,0,0,0,0,0,0,3,3,5,5,1,1,3,3,3,3,0,0
B61K,-0.8243,0.4904,4,378,44927,AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS. NOT OTHERWISE PROVIDED FOR (energy-storing brakes B61H;protection of permanent way against weather influences E01B;rail cleaning. snow ploughs E01H),24,24,25,25,48,48,101,101,68,68,85,85,82,82,71,71,90,90,36,36
B61L,-0.9624,0.2995,4,429,108450,GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC (brakes or auxiliary equipment B61H. B61K;point or crossing construction E01B),44,44,50,50,94,94,111,111,124,124,162,162,189,189,173,173,170,170,98,98
B62B,-0.4996,0.145,4,535,159581,HAND-PROPELLED VEHICLES. e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C;propulsion of sledges by driver or engine B62M),16,16,43,43,59,59,94,94,151,151,186,186,175,175,129,129,113,113,35,35
B62C,-0.7582,0.424,4,198,2173,VEHICLES DRAWN BY ANIMALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B62D,-0.4796,0.3578,4,598,1024056,MOTOR VEHICLES; TRAILERS (steering. or guiding on a desired track. of agricultural machines or implements A01B0069000000;wheels. castors. axles. increasing wheel adhesion B60B;vehicle tyres. tyre inflation or tyre changing B60C;connections between vehicles of a train or the like B60D;vehicles for use on rail and road. amphibious or convertible vehicles B60F;suspension arrangements B60G;heating. cooling. ventilating or other air treating devices B60H;windows. windscreens. non-fixed roofs. doors or similar devices. protective coverings for vehicles not in use B60J;propulsion plant arrangements. auxiliary drives. transmissions. controls. instrumentation or dashboards B60K;electric equipment or propulsion of electrically-propelled vehicles B60L;power supply for electrically-propelled vehicles B60M;passenger accommodation not otherwise provided for B60N;adaptations for load transportation or to carry special loads or objects B60P;arrangement of signalling or lighting devices. the mounting or supporting thereof or circuits therefor. for vehicles in general B60Q;vehicles. vehicle fittings or vehicle parts. not otherwise provided for B60R;servicing. cleaning. repairing. supporting. lifting. or manoeuvring. not otherwise provided for B60S;brake arrangements. brake control systems or parts thereof B60T;air-cushion vehicles B60V;motorcycles. accessories therefor B62J. B62K;testing of vehicles G01M),1075,1075,1523,1523,2225,2225,2466,2466,2890,2890,3274,3274,2989,2989,2995,2995,2982,2982,1279,1279
B62H,-0.9872,0.4205,4,308,50601,CYCLE STANDS; SUPPORTS OR HOLDERS FOR PARKING OR STORING CYCLES; APPLIANCES PREVENTING OR INDICATING UNAUTHORISED USE OR THEFT OF CYCLES; LOCKS INTEGRAL WITH CYCLES; DEVICES FOR LEARNING TO RIDE CYCLES,3,3,2,2,9,9,11,11,13,13,6,6,11,11,7,7,1,1,1,1
B62J,-0.8165,0.4455,4,473,209091,CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR. e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS,10,10,25,25,17,17,30,30,20,20,32,32,51,51,35,35,28,28,16,16
B62K,-0.8293,0.5196,4,490,213775,CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS. FORECARS. OR THE LIKE,14,14,40,40,39,39,36,36,45,45,25,25,24,24,29,29,14,14,11,11
B62L,-0.9641,0.712,4,268,43042,BRAKES SPECIALLY ADAPTED FOR CYCLES,1,1,0,0,0,0,2,2,2,2,4,4,3,3,0,0,0,0,1,1
B62M,-0.8121,0.5609,4,451,164036,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES; POWERED PROPULSION OF SLEDGES OR CYCLES; TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES (arrangements or mounting of transmissions in vehicles in general B60K;transmission elements per seF16),10,10,8,8,6,6,15,15,22,22,11,11,11,11,15,15,9,9,7,7
B63B,-0.3186,0.4597,4,600,469152,SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (arrangements of vessel ventilation. heating. cooling. or air-conditioning B63J0002000000;floating substructures as supports of dredgers or soil-shifting machines E02F0009060000),159,159,184,184,244,244,288,288,545,545,636,636,579,579,644,644,565,565,293,293
B63C,-0.5163,0.3942,4,504,116373,LAUNCHING. HAULING-OUT. OR DRY-DOCKING OF VESSELS; LIFE-SAVING IN WATER; EQUIPMENT FOR DWELLING OR WORKING UNDER WATER; MEANS FOR SALVAGING OR SEARCHING FOR UNDERWATER OBJECTS (floating nets. floating slipways. or the like for recovering aircraft from the water B63B0035520000),148,148,219,219,421,421,501,501,535,535,616,616,667,667,731,731,756,756,380,380
B63G,-0.6571,0.5614,4,420,52331,OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS; MINE-LAYING; MINE-SWEEPING; SUBMARINES; AIRCRAFT CARRIERS (means of attack or defence in general. e.g. turrets. F41H),33,33,89,89,185,185,195,195,223,223,296,296,283,283,394,394,335,335,164,164
B63H,-0.3738,0.6883,4,528,196123,MARINE PROPULSION OR STEERING (propulsion of air-cushion vehicles B60V0001140000;specially adapted for submarines. other than nuclear propulsion. B63G; specially adapted for torpedoes F42B0019000000),72,72,110,110,195,195,177,177,224,224,231,231,220,220,266,266,249,249,123,123
B63J,-0.1537,0.7838,4,375,57065,AUXILIARIES ON VESSELS,4,4,8,8,3,3,6,6,8,8,5,5,9,9,2,2,8,8,2,2
B64B,-0.7182,0.3688,4,344,15557,LIGHTER-THAN-AIR AIRCRAFT (ground installations for aircraft in general B64F),15,15,37,37,44,44,37,37,45,45,40,40,39,39,43,43,23,23,9,9
B64C,-0.582,0.3948,4,569,414498,AEROPLANES; HELICOPTERS ,1817,1817,4320,4320,6093,6093,6231,6231,6297,6297,8230,8230,7355,7355,5946,5946,2187,2187,630,630
B64D,-0.5516,0.3761,4,562,441088,EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLIGHT SUITS; PARACHUTES; ARRANGEMENT OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS IN AIRCRAFT,1163,1163,3038,3038,4616,4616,5158,5158,5559,5559,7334,7334,6536,6536,5642,5642,3253,3253,1158,1158
B64F,-0.6388,0.3268,4,479,135093,GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS SPECIALLY ADAPTED FOR USE IN CONNECTION WITH AIRCRAFT; DESIGNING. MANUFACTURING. ASSEMBLING. CLEANING. MAINTAINING OR REPAIRING AIRCRAFT. NOT OTHERWISE PROVIDED FOR; HANDLING. TRANSPORTING. TESTING OR INSPECTING AIRCRAFT COMPONENTS. NOT OTHERWISE PROVIDED FOR,265,265,566,566,925,925,1105,1105,1325,1325,1519,1519,1630,1630,1544,1544,698,698,281,281
B64G,-0.5101,0.4237,1,500,82382,COSMONAUTICS; VEHICLES OR EQUIPMENT THEREFOR,18,18,23,23,45,45,56,56,63,63,97,97,109,109,110,110,139,139,70,70
B64U,-0.8001,0.3908,4,357,45635,UNMANNED AERIAL VEHICLES [UAV]; EQUIPMENT THEREFOR,1,1,3,3,30,30,63,63,85,85,192,192,320,320,2002,2002,9033,9033,3627,3627
B65B,0.2563,-0.2242,2,628,709656,MACHINES. APPARATUS OR DEVICES FOR. OR METHODS OF. PACKAGING ARTICLES OR MATERIALS; UNPACKING (bundling and pressing devices for cigars A24C0001440000; devices for tensioning and securing binders adapted to be supported by the article or articles to be bound B25B0025000000; applying closure members to bottles. jars or similar containers B67B0001000000-B67B0006000000; concurrent cleaning. filling and closing of bottles B67C0007000000; emptying bottles. jars. cans. casks. barrels or similar containers B67C0009000000),201,201,259,259,357,357,419,419,490,490,546,546,559,559,508,508,441,441,179,179
B65C,-0.0852,-0.5731,2,493,88963,LABELLING OR TAGGING MACHINES. APPARATUS. OR PROCESSES (nailing or stapling in general B25C. B27F;processes for applying decalcomanias B44C0001160000;applying labels for packaging purposes B65B;labels. name-plates G09F),19,19,23,23,46,46,71,71,69,69,102,102,99,99,112,112,82,82,35,35
B65D,0.1284,-0.148,2,639,2124457,CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS. e.g. BAGS. BARRELS. BOTTLES. BOXES. CANS. CARTONS. CRATES. DRUMS. JARS. TANKS. HOPPERS. FORWARDING CONTAINERS; ACCESSORIES. CLOSURES. OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES,58,58,101,101,196,196,289,289,261,261,372,372,390,390,367,367,344,344,95,95
B65F,0.0971,0.0398,6,514,116040,GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE (disinfecting refuse A61L;refuse disintegrators B02C;sorting refuse B03B. B07B;handcarts for transporting refuse receptacles B62B;sack holders B65B0067000000;converting refuse into fertilisers C05F;converting refuse into solid fuels C10L;sewers. cesspools E03F;arrangements in buildings for the disposal of refuse E04F0017100000;refuse-consuming furnaces F23G),18,18,43,43,74,74,137,137,266,266,330,330,292,292,188,188,142,142,48,48
B65G,0.0238,0.0413,4,637,1362066,TRANSPORT OR STORAGE DEVICES. e.g. CONVEYORS FOR LOADING OR TIPPING. SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS (packaging B65B;handling thin or filamentary materials. e.g. paper sheets or thread. B65H;cranes B66C;portable or mobile lifting or hauling appliances. e.g. hoists. B66D;devices for lifting or lowering goods for loading or unloading purposes. e.g. fork-lift trucks. B66F0009000000;emptying bottles. jars. cans. casks. barrels or similar containers. not otherwise provided for. B67C0009000000;delivering or transferring liquids B67D; filling or discharging vessels for liquefied. solidified or compressed gases F17C;pipe-line systems for fluids F17D),810,810,1190,1190,1653,1653,2573,2573,2992,2992,3483,3483,3771,3771,3754,3754,3368,3368,1270,1270
