,id,x,y,cluster,weight<Links>,weight<Total link strength>,label
782,B23G,-0.194,-0.4753,6,348,35026,THREAD CUTTING; WORKING OF SCREWS， BOLT HEADS OR NUTS， IN CONJUNCTION THEREWITH (thread-forming by corrugating tubes B21D0015040000; by rolling B21H0003020000;by forging， pressing or hammering B21K0001560000; making helical grooves by turning B23B0005480000;by milling B23C0003320000;by grinding B24B0019020000; arrangements for copying or controlling B23Q)
783,B23H,0.0953,-0.2274,6,459,59841,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL (processes for the electrolytic or electrophoretic production of coatings， electroforming， or apparatus therefor C25D;processes for the electrolytic removal of material from objects C25F;manufacturing printed circuits using precipitation techniques to apply the conductive material to form the desired conductive pattern H05K0003180000)
785,B23K,-0.1388,0.0408,2,731,1022125,SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY， e.g. FLAME CUTTING; WORKING BY LASER BEAM (making metal-coated products by extruding metal B21C0023220000;building up linings or coverings by casting B22D0019080000;casting by dipping B22D0023040000;manufacture of composite layers by sintering metal powder B22F0007000000;arrangements on machine tools for copying or controlling B23Q;covering metals or covering materials with metals， not otherwise provided for C23C;burners F23D)
790,B23P,-0.275,-0.2771,6,678,676113,METAL-WORKING NOT OTHERWISE PROVIDED FOR; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q)
791,B23Q,-0.1818,-0.4169,6,688,869710,DETAILS， COMPONENTS， OR ACCESSORIES FOR MACHINE TOOLS， e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B0027000000); MACHINE TOOLS IN GENERAL， CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES， NOT DIRECTED TO A PARTICULAR RESULT
795,B24B,0.1531,-0.3802,6,663,514100,MACHINES， DEVICES， OR PROCESSES FOR GRINDING OR POLISHING (by electro-erosion B23H;abrasive or related blasting B24C; electrolytic etching or polishing C25F0003000000); DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING， POLISHING， OR LAPPING AGENTS
796,B24C,0.0691,-0.1169,3,540,75825,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
797,B24D,0.2782,-0.3711,6,536,149034,TOOLS FOR GRINDING， BUFFING OR SHARPENING (abrading-bodies specially designed for tumbling apparatus， e.g. abrading-balls B24B0031140000;honing tools B24B0033080000;lapping tools B24B0037110000)
807,B25B,-0.3753,-0.3394,6,652,367992,TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR， FOR FASTENING， CONNECTING， DISENGAGING， OR HOLDING
808,B25C,-0.3876,-0.5647,6,444,45450,HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY-OPERATED PORTABLE STAPLING TOOLS (manufacturing footwear A43D)
809,B25D,-0.4564,-0.3389,1,465,81258,PERCUSSIVE TOOLS
811,B25F,-0.233,-0.3716,6,480,118068,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR
812,B25G,-0.1689,-0.3239,4,464,62821,HANDLES FOR HAND IMPLEMENTS (attaching the blades or the like to handles of hand tools for soil working A01B0001220000;handles of hand implements for harvesting A01D0001140000;handles integral with brushware A46B)
813,B25H,-0.4231,-0.4248,6,552,136843,WORKSHOP EQUIPMENT， e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS
814,B25J,-0.3575,-0.1065,6,645,524328,MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits， vegetables， hops or the like A01D0046300000;needle manipulators for surgery A61B0017062000;manipulators associated with rolling mills B21B0039200000;manipulators associated with forging machines B21J0013100000;means for holding wheels or parts thereof B60B0030000000;cranes B66C;arrangements for handling fuel or other materials which are used within nuclear reactors G21C0019000000;structural combination of manipulators with cells or rooms shielded against radiation G21F0007060000)
823,B26B,0.0771,-0.2806,4,574,98406,HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR (for harvesting A01D;for horticulture， for forestry A01G;for butchering or meat treatment A22;for manufacturing or repairing footwear A43D;nail clippers or cutters A45D0029020000;kitchen equipment A47J;for surgical purposes A61B0017000000;for metal B23D;cutting by abrasive fluid jets B24C0005020000;plier-like tools with cutting edges B25B0007220000;pincers B25C0011020000;handles for hand implements， in general B25G;guillotine-type cutters B26D;for erasing B43L0019000000;for textile materials D06H)
825,B26D,0.1305,-0.4115,6,657,477600,CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING， PUNCHING， CUTTING-OUT， STAMPING-OUT OR SEVERING (disintegrating by knives or other cutting or tearing members which chop material into fragments B02C0018000000;cutting by abrasive fluid jets B24C0005020000;hand-held cutting tools B26B)
826,B26F,0.0188,-0.4782,6,583,247464,PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING (marking-out， perforating or making buttonholes A41H0025000000; manufacturing footwear A43D; surgery A61B; punching metal B21D; drilling metal B23B; cutting of metal by applying heat locally， e.g. flame cutting， B23K; cutting by abrasive fluid jets B24C0005020000; details common to machines for severing B26D; drilling wood B27C; drilling stone B28D; working of plastics or substances in a plastic state B29; making boxes， cartons， envelopes or bags， of paper or similarly worked materials， e.g. metal foil， B31B; of glass C03B; of leather C14B; of textile materials D06H; for light guides G02B0006250000; of tickets G07B)
837,B27B,-0.1185,-0.78,6,484,113027,SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR (saws specially adapted for pruning or debranching A01G0003080000;sawing apparatus specially adapted for felling trees A01G0023091000;features not restricted to a particular type of wood saw B23D， e.g. attaching saw blades B23D0051000000;machine tool frames， beds， pillars or like members， in general B23Q0001010000)
838,B27C,-0.074,-0.7014,6,375,67812,PLANING， DRILLING， MILLING， TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL  (machine tools in general B23;working wood using abrasive， e.g. sanding， devices B24;tools for these purposes B27G)
839,B27D,0.1049,-0.496,6,422,81120,WORKING VENEER OR PLYWOOD (applying liquids or other fluent materials to surfaces in general B05;grinding， sanding， or polishing of wood B24;applying adhesives or glue to surfaces of wood B27G0011000000;manufacture of veneer B27L0005000000)
840,B27F,-0.1718,-0.6786,6,357,40659,DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES (hand-held nailing or stapling tools B25C;manufacture of cases， trunks or boxes from wood B27M0003340000;connections for building structures in general， e.g. dowels for use in building constructions E04B0001380000;jointing elements in general， e.g. dowels in general， F16B)
841,B27G,-0.0381,-0.6613,6,442,91296,ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS; TOOLS FOR WORKING WOOD OR SIMILAR MATERIALS (tools for grinding B24D;sawing tools B27B0033000000;tools for slotting or mortising machines B27F0005020000;tools for the manufacture of wood shavings， chips， powder or the like B27L0011000000); SAFETY DEVICES FOR WOOD WORKING MACHINES OR TOOLS
842,B27H,0.1749,-0.5672,6,202,6929,BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
844,B27J,0.2001,-0.6104,6,317,18044,MECHANICAL WORKING OF CANE， CORK， OR SIMILAR MATERIALS
845,B27K,0.5492,-0.3412,3,509,96854,PROCESSES， APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING， STAINING， DYEING OR BLEACHING OF WOOD， OR FOR TREATING OF WOOD WITH PERMEANT LIQUIDS， NOT OTHERWISE PROVIDED FOR; CHEMICAL OR PHYSICAL TREATMENT OF CORK， CANE， REED， STRAW OR SIMILAR MATERIALS
846,B27L,0.0891,-0.6176,6,407,40912,REMOVING BARK OR VESTIGES OF BRANCHES (forestry A01G); SPLITTING WOOD; MANUFACTURE OF VENEER， WOODEN STICKS， WOOD SHAVINGS， WOOD FIBRES OR WOOD POWDER
847,B27M,0.0313,-0.5993,6,481,94694,WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B-B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES
848,B27N,0.4385,-0.4329,3,504,118323,MANUFACTURE BY DRY PROCESSES OF ARTICLES， WITH OR WITHOUT ORGANIC BINDING AGENTS， MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL (containing cementitious material B28B;shaping of substances in a plastic state B29C;fibreboards made from fibrous suspensions D21J;drying F26B0017000000)
852,B28B,0.0568,-0.3289,3,646,368903,SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS; SHAPING SLAG; SHAPING MIXTURES CONTAINING CEMENTITIOUS MATERIAL， e.g. PLASTER (foundry moulding B22C;working stone or stone-like material B28D;shaping of substances in a plastic state， in general B29C;making layered products not composed wholly of these substances B32B)
853,B28C,-0.0014,-0.2726,3,512,106996,PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL， e.g. PLASTER (preparing material for foundry moulds B22C0005000000)
854,B28D,-0.1003,-0.3003,6,504,155357,WORKING STONE OR STONE-LIKE MATERIALS (machinery for， or methods of， mining or quarrying E21C)
865,B29B,0.431,-0.2636,3,656,745746,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS
866,B29C,0.1713,-0.2856,3,877,3863838,SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE， NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS， e.g. REPAIRING (making preforms B29B0011000000;  making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)
867,B29D,0.1718,-0.2615,3,717,940610,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE (making granules B29B0009000000;making preforms B29B0011000000)
873,B29K,0.2636,-0.2636,3,641,893466,INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B， B29C OR B29D， RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR REINFORCEMENTS， FILLERS OR PREFORMED PARTS， e.g. INSERTS
874,B29L,0.1177,-0.2756,3,644,1025633,INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C， RELATING TO PARTICULAR ARTICLES
880,B30B,0.2422,-0.298,3,662,345735,PRESSES IN GENERAL; PRESSES NOT OTHERWISE PROVIDED FOR (producing ultra-high pressure or ultra-high pressure and high temperature to effect modifications of a substance， e.g. for making artificial diamonds B01J0003000000)
890,B31B,0.1466,-0.6144,6,530,188015,MAKING CONTAINERS OF PAPER， CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making wound articles， e.g. wound tubes， B31C;combined making and filling B65B)
891,B31C,0.1919,-0.3796,3,322,15093,MAKING WOUND ARTICLES， e.g. WOUND TUBES， OF PAPER， CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER
892,B31D,0.1964,-0.5749,6,457,54508,MAKING ARTICLES OF PAPER， CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER， NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C (manufacture by dry processes of articles made from particles or fibres consisting of wood or other lignocellulosic or like organic material B27N;making layered products not composed wholly of paper or cardboard B32B;making articles from cellulosic fibrous suspensions， e.g. wood pulp， D21J)
893,B31F,0.4323,-0.4067,3,471,89485,MECHANICAL WORKING OR DEFORMATION OF PAPER， CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making layered products not composed wholly of paper or cardboard B32B)
899,B32B,0.1993,-0.158,3,882,3431390,LAYERED PRODUCTS， i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT， e.g. CELLULAR OR HONEYCOMB， FORM
917,B33Y,0.176,-0.0967,3,563,358985,ADDITIVE MANUFACTURING， i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION， ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING， e.g. BY 3D PRINTING， STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING
954,B41B,-0.2487,0.7324,2,382,24726,MACHINES OR ACCESSORIES FOR MAKING， SETTING， OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRONIC COMPOSING DEVICES (photographic devices in general G03)
955,B41C,0.2738,0.2861,2,397,102206,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES (photomechanical processes for producing printing surfaces G03F;photoelectrical processes for producing printing surfaces G03G)
956,B41D,0.2009,0.1624,2,191,4823,APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING; SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES (marking or engraving metal by the action of a high concentration of electric current B23H0009060000;type， machines， or accessories for making， setting， or distributing type B41B;processes for the manufacture or reproduction of printing surfaces B41C;machines or apparatus for engraving in general， or for embossing B44B0003000000， B44B0005000000;chemical etching of metal C23F0001000000;electrolytic etching C25F0003000000;photomechanical reproduction G03F)
958,B41F,0.1034,0.1184,2,635,304032,PRINTING MACHINES OR PRESSES (manifolding devices or office printing machines B41L)
959,B41G,0.1402,0.0087,2,164,4287,APPARATUS FOR BRONZE PRINTING， LINE PRINTING， OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES; AUXILIARY APPARATUS FOR PERFORATING IN CONJUNCTION WITH PRINTING (perforating in general B26D;production of decorations B44C;perforating in conjunction with sheet or web delivery B65H0035000000;folding or unfolding thin material， e.g. sheets， webs， B65H0045000000， B65H0047000000)
962,B41J,0.0211,0.5136,2,708,1248548,TYPEWRITERS; SELECTIVE PRINTING MECHANISMS， i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS
963,B41K,0.0672,0.1038,2,429,40620,STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES (marking meat A22C0017100000;embossing combined with printing B41F0019000000;selective printing mechanisms B41J;embossing decorations or marks B44B0005000000;marking or coding completed packages B65B0061260000;ticket printing and issuing， fare registering， non-printing aspects of franking apparatus G07B)
964,B41L,0.0338,0.2636,2,394,57024,APPARATUS OR DEVICES FOR MANIFOLDING， DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES (printing presses or machines for industrial purposes B41F;stamps， stamping or numbering devices B41K)
965,B41M,0.1796,0.3122,2,639,668381,PRINTING， DUPLICATING， MARKING， OR COPYING PROCESSES; COLOUR PRINTING (correction of typographical errors B41J;processes for applying transfer pictures or the like B44C0001160000;fluid media for correction of typographical errors by coating C09D0010000000;printing textiles D06P)
966,B41N,0.2612,0.2511,2,421,107664,PRINTING PLATES OR FOILS (photosensitive materials G03); MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING， INKING， DAMPING， OR THE LIKE; PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM
974,B42B,0.0791,-0.1171,3,265,26335,PERMANENTLY ATTACHING TOGETHER SHEETS， QUIRES， OR SIGNATURES， OR PERMANENTLY ATTACHING OBJECTS THERETO (nailing or stapling in general B25C， B27F;machines for both collating or gathering and permanently attaching together sheets or signatures B42C0001120000;temporarily attaching sheets together B42F)
975,B42C,0.0698,0.182,3,315,66542,BOOKBINDING (cutting or perforating machines， devices， or tools B26;folding sheets or webs B31F;ornamenting books B44)
976,B42D,-0.0643,0.2404,2,573,358077,BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR READING APPARATUS
977,B42F,-0.0871,-0.0947,4,480,68478,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B0019000000;book rests A47B0023000000)
994,B43K,-0.0778,-0.5766,4,527,76450,IMPLEMENTS FOR WRITING OR DRAWING (containers， casings or accessories for cosmetic substances， e.g. shaving soap， lipstick， make-up， A45D0034000000， A45D0040000000)
995,B43L,-0.1381,-0.0406,4,521,106112,ARTICLES FOR WRITING OR DRAWING UPON; ACCESSORIES FOR WRITING OR DRAWING (workshop equipment for marking-out work B25H0007000000;teaching hand-writing or drawing G09B0011000000)
996,B43M,0.0523,-0.365,4,376,34721,BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR (stapling devices B25C， B27F;devices for temporarily attaching sheets together B42F;adhesive tape dispensers B65H0035070000)
1000,B44B,-0.0441,-0.1631,6,444,45253,MACHINES， APPARATUS OR TOOLS FOR ARTISTIC WORK， e.g. FOR SCULPTURING， GUILLOCHING， CARVING， BRANDING OR INLAYING (ornamenting leather C14B)
1001,B44C,0.071,-0.1647,3,636,317487,PRODUCING DECORATIVE EFFECTS (processes for applying liquids or other fluent materials to surfaces， in general B05D;shaping of plastics or substances in a plastic state B29C;printing processes to produce transfer pictures B41M0003120000;thermographic duplication or marking methods B41M0005000000); MOSAICS; TARSIA WORK (imitation of mosaic or tarsia-work patterns B44F0011040000); PAPERHANGING
1002,B44D,0.069,-0.2036,3,550,74327,PAINTING OR ARTISTIC DRAWING， NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES (surface treatment in general， see the relevant places， e.g. applying liquids or other fluent materials B05)
1004,B44F,0.106,0.0208,2,500,114933,SPECIAL DESIGNS OR PICTURES
1080,B60B,-0.712,-0.276,1,595,233617,VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000， by forging， hammering or pressing B21K0001280000); CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION
1081,B60C,-0.0724,0.0527,3,612,367794,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES
1082,B60D,-0.761,-0.1983,1,392,53017,VEHICLE CONNECTIONS (components of brake systems B60T0017040000)
1084,B60F,-0.8278,-0.2312,1,315,31078,VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA， e.g. AMPHIBIOUS VEHICLES (air-cushion vehicles B60V)
1085,B60G,-0.7187,-0.2867,1,523,225231,VEHICLE SUSPENSION ARRANGEMENTS (air-cushion vehicles B60V;connections between vehicle bodies and vehicle frames B62D0024000000)
1086,B60H,-0.5554,-0.4193,1,553,306547,ARRANGEMENTS OF HEATING， COOLING， VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES
1088,B60J,-0.9027,-0.394,1,604,395762,WINDOWS， WINDSCREENS， NON-FIXED ROOFS， DOORS， OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES (fastening， suspending， closing， or opening of such devices E05)
1089,B60K,-0.7188,-0.1234,1,688,1407060,ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING， AIR INTAKE， GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES
1090,B60L,-0.687,0.0433,1,577,855812,PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000， B60K0006200000;arrangements or mounting of electrical gearing in vehicles B60K0017120000， B60K0017140000;preventing wheel slip by reducing power in rail vehicles B61C0015080000;dynamo-electric machines H02K;control or regulation of electric motors H02P); SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES (electric coupling devices combined with mechanical couplings of vehicles B60D0001640000;electric heating for vehicles B60H0001000000); ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL (control or regulation of electric motors H02P); MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES
1091,B60M,-0.4502,-0.0159,1,381,51799,POWER SUPPLY LINES， OR DEVICES ALONG RAILS， FOR ELECTRICALLY-PROPELLED VEHICLES (control of points or safety arrangements along railway lines B61L;construction of rails or points in general E01B)
1092,B60N,-0.5387,-0.402,1,577,343663,SEATS SPECIALLY ADAPTED FOR VEHICLES; VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR
1094,B60P,-0.6806,-0.2599,1,630,312061,VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT， TO CARRY， OR TO COMPRISE SPECIAL LOADS OR OBJECTS (vehicles with special provisions for transporting patients or disabled persons， or their personal conveyances A61G0003000000)
1095,B60Q,-0.8457,0.2001,1,565,445937,ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES， THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR， FOR VEHICLES IN GENERAL
1096,B60R,-0.7184,-0.0798,1,767,1689506,VEHICLES， VEHICLE FITTINGS， OR VEHICLE PARTS， NOT OTHERWISE PROVIDED FOR (fire prevention， containment or extinguishing specially adapted for vehicles A62C0003070000)
1097,B60S,-0.9001,-0.2059,1,567,238246,SERVICING， CLEANING， REPAIRING， SUPPORTING， LIFTING， OR MANOEUVRING OF VEHICLES， NOT OTHERWISE PROVIDED FOR
1098,B60T,-0.7944,-0.089,1,596,457341,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF， IN GENERAL (control of electrodynamic brake systems B60L0007000000;conjoint control of brakes and other drive units of vehicles B60W); ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES
1099,B60V,-0.645,-0.2118,1,299,15861,AIR-CUSHION VEHICLES
1100,B60W,-0.745,0.0287,1,463,786840,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT
1104,B61B,-0.6026,-0.1926,1,504,121753,RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR (lifts or hoists， elevators， escalators， moving walkways B66B)
1105,B61C,-0.6942,-0.0829,1,418,61466,LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60;frames or bogies B61F;special railroad equipment for locomotives B61J， B61K)
1106,B61D,-0.739,-0.3455,1,558,161417,BODY DETAILS OR KINDS OF RAILWAY VEHICLES (vehicles in general B60; adaptation of vehicles to special systems B61B; underframes B61F)
1107,B61F,-0.7189,-0.3278,1,423,60011,RAIL VEHICLE SUSPENSIONS， e.g. UNDERFRAMES， BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS， OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES (for vehicles in general B60;axles or wheels B60B;vehicle tyres B60C)
1108,B61G,-0.9148,-0.3256,1,326,22953,COUPLINGS SPECIALLY ADAPTED FOR RAILWAY VEHICLES; DRAUGHT OR BUFFING APPLIANCES SPECIALLY ADAPTED FOR RAILWAY VEHICLES
1109,B61H,-0.8043,-0.2413,1,336,39805,BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES; ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES (electrodynamic braking of vehicles B60L， in general H02K;arrangements in rail vehicles for adjusting wheel-braking force to meet varying vehicular or permanent-way conditions B60T0008000000;transmitting braking action from initiating means to ultimate brake actuator with power assistance or drive， brake systems incorporating such transmitting means， e.g. air-pressure brake systems， B60T0013000000;construction， arrangement or operation of valves incorporated in power brake systems B60T0015000000;component parts， details or accessories of brake systems B60T0017000000;brakes in general F16D)
1111,B61J,-0.681,-0.1801,1,256,10171,SHIFTING OR SHUNTING OF RAIL VEHICLES (shifting vehicles in general B60S;marshalling systems B61B)
1112,B61K,-0.6134,-0.0272,1,386,44942,AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS， NOT OTHERWISE PROVIDED FOR (energy-storing brakes B61H;protection of permanent way against weather influences E01B;rail cleaning， snow ploughs E01H)
1113,B61L,-0.6718,0.2597,1,445,108578,GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC (brakes or auxiliary equipment B61H， B61K;point or crossing construction E01B)
1121,B62B,-0.3774,-0.2981,1,557,159698,HAND-PROPELLED VEHICLES， e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C;propulsion of sledges by driver or engine B62M)
1122,B62C,-0.714,-0.2482,1,200,2175,VEHICLES DRAWN BY ANIMALS
1123,B62D,-0.784,-0.2408,1,710,1024698,MOTOR VEHICLES; TRAILERS (steering， or guiding on a desired track， of agricultural machines or implements A01B0069000000;wheels， castors， axles， increasing wheel adhesion B60B;vehicle tyres， tyre inflation or tyre changing B60C;connections between vehicles of a train or the like B60D;vehicles for use on rail and road， amphibious or convertible vehicles B60F;suspension arrangements B60G;heating， cooling， ventilating or other air treating devices B60H;windows， windscreens， non-fixed roofs， doors or similar devices， protective coverings for vehicles not in use B60J;propulsion plant arrangements， auxiliary drives， transmissions， controls， instrumentation or dashboards B60K;electric equipment or propulsion of electrically-propelled vehicles B60L;power supply for electrically-propelled vehicles B60M;passenger accommodation not otherwise provided for B60N;adaptations for load transportation or to carry special loads or objects B60P;arrangement of signalling or lighting devices， the mounting or supporting thereof or circuits therefor， for vehicles in general B60Q;vehicles， vehicle fittings or vehicle parts， not otherwise provided for B60R;servicing， cleaning， repairing， supporting， lifting， or manoeuvring， not otherwise provided for B60S;brake arrangements， brake control systems or parts thereof B60T;air-cushion vehicles B60V;motorcycles， accessories therefor B62J， B62K;testing of vehicles G01M)
