,id,x,y,cluster,weight<Links>,weight<Total link strength>,label
177,A24C,0.4572,-0.417,4,399,54685,MACHINES FOR MAKING CIGARS OR CIGARETTES
178,A24D,0.4879,-0.3287,4,411,86482,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
180,A24F,0.3297,-0.3285,4,517,123474,SMOKERS’ REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes， shaped like cigars， cigarettes or pipes A61M0015060000)
266,A41B,0.5108,-0.6025,4,439,109582,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
267,A41C,0.574,-0.757,4,294,31348,CORSETS; BRASSIÈRES
268,A41D,0.1868,-0.4251,4,616,362056,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
270,A41F,0.1695,-0.4933,4,372,41336,GARMENT FASTENINGS; SUSPENDERS
271,A41G,0.1293,-0.5825,7,396,22854,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
272,A41H,0.1672,-0.4295,4,406,64607,APPLIANCES OR METHODS FOR MAKING CLOTHES， e.g. FOR DRESS-MAKING OR FOR TAILORING， NOT OTHERWISE PROVIDED FOR
281,A42B,-0.0573,-0.3127,4,475,85994,HATS; HEAD COVERINGS  (headbands A41D0020000000; head-scarves A41D0023000000)
282,A42C,-0.0929,-0.37,4,256,12599,MANUFACTURING OR TRIMMING HEAD COVERINGS， e.g. HATS
289,A43B,0.3535,-0.5364,4,568,184884,CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR
290,A43C,0.4945,-0.7141,4,352,40989,FASTENINGS OR ATTACHMENTS FOR FOOTWEAR; LACES IN GENERAL
291,A43D,0.2764,-0.4492,4,445,50773,MACHINES， TOOLS， EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR (sewing D05B)
302,A44B,-0.0214,-0.3474,4,579,148070,BUTTONS， PINS， BUCKLES， SLIDE FASTENERS， OR THE LIKE (fastenings specially adapted for footwear A43C)
303,A44C,-0.2967,-0.1261,4,534,91481,PERSONAL ADORNMENTS， e.g. JEWELLERY; COINS
312,A45B,-0.6072,-0.6956,4,459,35469,WALKING STICKS (walking aids， e.g. sticks， for blind persons A61H0003060000); UMBRELLAS; LADIES' OR LIKE FANS (cane or umbrella stands or holders A47G0025120000)
313,A45C,-0.2562,-0.5833,4,593,206127,PURSES; LUGGAGE; HAND CARRIED BAGS
314,A45D,0.1865,-0.5595,4,608,266551,HAIRDRESSING OR SHAVING EQUIPMENT   (wigs， toupees or the like A41G0003000000， A41G0005000000;  hairdressers' chairs A47C0001040000;  hair cutting appliances， razors B26B); EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS， e.g. FOR MANICURING OR PEDICURING
316,A45F,-0.309,-0.6648,4,496,107545,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY
327,A46B,0.1875,-0.6573,4,566,146133,BRUSHES (handles not integral with brushware B25G)
329,A46D,0.2264,-0.5754,4,376,35266,MANUFACTURE OF BRUSHES
336,A47B,-0.2994,-0.395,4,690,534981,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (jointing of furniture F16B0012000000)
337,A47C,-0.525,-0.5802,4,642,371570,CHAIRS; SOFAS; BEDS
338,A47D,-0.4219,-0.4747,4,395,46831,FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B0039000000， A47B0041000000)
340,A47F,-0.2373,-0.3453,4,596,228035,SPECIAL FURNITURE， FITTINGS， OR ACCESSORIES FOR SHOPS， STOREHOUSES， BARS， RESTAURANTS， OR THE LIKE; PAYING COUNTERS
341,A47G,-0.0973,-0.4318,4,712,491270,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000;knives B26B)
342,A47H,-0.5952,-0.7293,1,442,41571,FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05;roller blinds E06B;special arrangements or measures in connection with doors or windows， e.g. for ventilation or sealing， E06B0007000000)
344,A47J,0.1406,-0.4557,4,681,483967,KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES
345,A47K,0.1597,-0.94,4,637,351326,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe， sinks E03C;water-closets E03D); TOILET ACCESSORIES (cosmetic equipment A45D)
346,A47L,0.0444,-0.7301,4,659,365893,DOMESTIC WASHING OR CLEANING (brushes A46B;cleaning quantities of bottles or of other hollow articles of one kind B08B0009000000;laundry D06F); SUCTION CLEANERS IN GENERAL (cleaning in general B08)
402,A61B,0.1306,0.2852,4,778,2641892,DIAGNOSIS; SURGERY; IDENTIFICATION (usefulness limited to only animals A61D)
403,A61C,0.2097,-0.0634,4,591,294668,DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B;preparations for dentistry A61K0006000000; preparations for cleaning the teeth or mouth A61K0008000000， A61Q0011000000)
404,A61D,0.449,0.1056,4,443,74273,VETERINARY INSTRUMENTS， IMPLEMENTS， TOOLS， OR METHODS
406,A61F,0.4392,-0.1437,4,765,1491086,FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO， OR PREVENTING COLLAPSING OF， TUBULAR STRUCTURES OF THE BODY， e.g. STENTS; ORTHOPAEDIC， NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES， DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)
407,A61G,-0.3036,-0.2648,4,601,356859,TRANSPORT， PERSONAL CONVEYANCES， OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H0003000000); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N0001000000)
408,A61H,-0.1995,-0.2851,4,610,445006,PHYSICAL THERAPY APPARATUS， e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy， magnetotherapy， radiation therapy， ultrasound therapy A61N)
410,A61J,0.3197,-0.1673,4,595,412526,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE
411,A61K,1.1749,0.1613,5,939,12946242,PREPARATIONS FOR MEDICAL， DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000;chemical aspects of， or use of materials for deodorisation of air， for disinfection or sterilisation， or for bandages， dressings， absorbent pads or surgical articles A61L;soap compositions C11D)
412,A61L,0.7279,-0.0442,4,755,1735102,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION， STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES， DRESSINGS， ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES， DRESSINGS， ABSORBENT PADS OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agents employed A01N;preserving， e.g. sterilising， food or foodstuffs A23;preparations for medical， dental or toiletry purposes A61K)
413,A61M,0.2551,-0.0364,4,730,1426329,DEVICES FOR INTRODUCING MEDIA INTO， OR ONTO， THE BODY (introducing media into or onto the bodies of animals A61D0007000000; means for inserting tampons A61F0013260000; devices for administering food or medicines orally A61J; containers for collecting， storing or administering blood or medical fluids A61J0001050000); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L; magnetotherapy using magnetic elements placed within the body A61N0002100000); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR
414,A61N,0.2875,0.2784,4,643,589085,ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B;surgical instruments， devices or methods for transferring non-mechanical forms of energy to or from the body A61B0018000000;anaesthetic apparatus in general A61M;incandescent lamps H01K;infrared radiators for heating H05B)
416,A61P,1.2655,0.1891,5,733,8950548,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
417,A61Q,1.1953,0.0931,5,587,1621824,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS
