id	x	y	cluster	weight<Links>	weight<Total link strength>
B27H	0.5901	-0.5586	5	198	6908
B27J	0.6107	-0.5916	5	310	18015
B27K	0.675	-0.4017	5	487	96527
B27L	0.5899	-0.4052	5	392	40799
B27M	0.3813	-0.4562	5	464	94572
B27N	0.5821	-0.446	2	478	113046
B28B	0.2504	0.0624	6	588	368086
B28C	0.392	0.2277	3	480	106918
B28D	0.1078	-0.044	5	485	155316
B29B	0.4509	-0.2214	2	602	730005
B29C	0.1412	-0.2622	2	640	3813167
B29D	0.1075	-0.3682	2	619	918184
B29K	0.2181	-0.3416	2	595	891376
B29L	0.1292	-0.3377	2	602	1022641
B30B	0.4386	-0.0042	5	601	342159
B31B	0.1987	-0.5155	2	504	187864
B31C	0.3073	-0.5708	2	313	15047
B31D	0.1257	-0.6106	2	440	54466
B31F	0.2891	-0.6204	2	450	89401
B32B	0.133	-0.3018	2	637	3425227
B33Y	0.2484	-0.1113	2	562	358984
B41B	-0.6973	-0.6403	1	360	24689
B41C	-0.0988	-0.8169	2	380	102110
B41D	-0.0406	-0.8965	2	186	4811
B41F	-0.1376	-0.6987	2	577	303898
B41G	-0.108	-0.9926	2	164	4287
B41J	-0.3393	-0.5091	2	594	1248202
B41K	-0.3332	-0.7565	2	414	40581
B41L	-0.4197	-0.8295	2	377	57005
B41M	0.0187	-0.6106	2	558	667992
B41N	-0.0071	-0.7796	2	400	107510
B42B	-0.3119	-0.8841	2	263	26333
B42C	-0.4202	-0.8188	2	302	66526
B42D	-0.5105	-0.6071	2	518	357954
B42F	-0.4443	-0.6686	2	452	68429
B43K	-0.1718	-0.5804	2	489	76282
B43L	-0.4373	-0.5328	2	487	106035
B43M	-0.1953	-0.667	2	357	34695
B44B	-0.0413	-0.4701	5	432	45209
B44C	0.0428	-0.4803	2	571	316863
B44D	0.1778	-0.4356	2	524	74036
B44F	-0.0459	-0.5907	2	478	114644
B60B	-0.418	0.2962	4	561	233398
B60C	0.0614	-0.1841	2	559	364552
B60D	-0.6679	0.5433	4	382	53001
B60F	-0.7525	0.6912	4	311	31073
B60G	-0.6005	0.5044	4	488	225141
B60H	-0.1871	0.5948	4	519	305487
B60J	-0.5167	0.1364	6	539	395321
B60K	-0.4772	0.4575	4	586	1406723
B60L	-0.6274	0.4077	4	528	855670
B60M	-0.7421	0.4149	4	375	51791
B60N	-0.4368	-0.0211	6	534	343567
B60P	-0.4097	0.3354	4	583	310418
B60Q	-0.7159	0.143	1	513	435993
B60R	-0.5023	0.1549	4	624	1688486
B60S	-0.3734	0.2812	4	533	237942
