id	x	y	cluster	weight<Links>	weight<Total link strength>
H03M	-1.1705	-0.2621	1	471	604678
H04B	-1.0791	-0.1821	1	607	2896413
H04H	-1.2884	-0.3024	1	385	297697
H04J	-1.317	-0.2587	1	429	855255
H04K	-1.3665	-0.3072	1	303	96831
H04L	-1.0569	-0.2166	1	603	4354504
H04M	-0.9849	-0.2172	1	587	1753096
H04N	-0.7276	-0.2375	1	627	4469263
H04Q	-1.0878	-0.1697	1	572	1279187
H04R	-0.9435	-0.2271	1	588	543469
H04S	-1.3525	-0.3358	1	235	99103
H04W	-1.0592	-0.1768	1	558	2778766
H05B	-0.1148	0.0494	1	642	1577311
H05C	-0.3884	-0.065	8	280	6483
H05F	-0.1238	-0.2233	1	548	80661
H05G	-0.3574	-0.2921	1	364	85305
H05H	-0.0552	0.1956	1	531	243734
H05K	-0.2939	-0.053	1	631	2499030
H10B	-0.5956	-0.3026	1	303	394210
H10D	-0.5492	-0.412	1	94	2397
H10F	-0.2231	-0.3448	1	167	2132
H10H	-0.4214	-0.4139	1	119	1702
H10K	0.1551	-0.2779	1	407	460698
H10N	-0.3878	0.0179	1	581	795947
H99Z	-0.7328	0.0406	1	54	110
