id,x,y,cluster,weight<Links>,weight<Total link strength>,label
B23G,0.0323,0.1153,5,342,35019,THREAD CUTTING; WORKING OF SCREWS. BOLT HEADS OR NUTS. IN CONJUNCTION THEREWITH (thread-forming by corrugating tubes B21D0015040000; by rolling B21H0003020000;by forging. pressing or hammering B21K0001560000; making helical grooves by turning B23B0005480000;by milling B23C0003320000;by grinding B24B0019020000; arrangements for copying or controlling B23Q)
B23H,0.1261,0.1396,5,442,59506,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL (processes for the electrolytic or electrophoretic production of coatings. electroforming. or apparatus therefor C25D;processes for the electrolytic removal of material from objects C25F;manufacturing printed circuits using precipitation techniques to apply the conductive material to form the desired conductive pattern H05K0003180000)
B23K,-0.0134,0.0738,5,628,1021439,SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY. e.g. FLAME CUTTING; WORKING BY LASER BEAM (making metal-coated products by extruding metal B21C0023220000;building up linings or coverings by casting B22D0019080000;casting by dipping B22D0023040000;manufacture of composite layers by sintering metal powder B22F0007000000;arrangements on machine tools for copying or controlling B23Q;covering metals or covering materials with metals. not otherwise provided for C23C;burners F23D)
B23P,-0.0191,0.1487,5,616,675277,METAL-WORKING NOT OTHERWISE PROVIDED FOR; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q)
B23Q,0.012,-0.0095,5,607,869373,DETAILS. COMPONENTS. OR ACCESSORIES FOR MACHINE TOOLS. e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B0027000000); MACHINE TOOLS IN GENERAL. CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES. NOT DIRECTED TO A PARTICULAR RESULT
B24B,0.1544,-0.0845,5,603,513714,MACHINES. DEVICES. OR PROCESSES FOR GRINDING OR POLISHING (by electro-erosion B23H;abrasive or related blasting B24C; electrolytic etching or polishing C25F0003000000); DRESSING OR CONDITIONING OF ABRADING SURFACES; FEEDING OF GRINDING. POLISHING. OR LAPPING AGENTS
B24C,0.2642,0.0882,5,519,75752,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D,0.3214,-0.141,5,511,148951,TOOLS FOR GRINDING. BUFFING OR SHARPENING (abrading-bodies specially designed for tumbling apparatus. e.g. abrading-balls B24B0031140000;honing tools B24B0033080000;lapping tools B24B0037110000)
B25B,-0.1513,0.0541,5,596,367807,TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR. FOR FASTENING. CONNECTING. DISENGAGING. OR HOLDING
B25C,-0.1385,-0.0256,5,428,45417,HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY-OPERATED PORTABLE STAPLING TOOLS (manufacturing footwear A43D)
B25D,-0.1135,0.2852,5,449,81220,PERCUSSIVE TOOLS
B25F,-0.1129,0.0792,5,472,118060,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR
B25G,-0.0857,-0.0336,5,446,62776,HANDLES FOR HAND IMPLEMENTS (attaching the blades or the like to handles of hand tools for soil working A01B0001220000;handles of hand implements for harvesting A01D0001140000;handles integral with brushware A46B)
B25H,-0.2237,-0.0618,5,526,136799,WORKSHOP EQUIPMENT. e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS
B25J,-0.3075,0.0736,1,603,524174,MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES (robotic devices for individually picking fruits. vegetables. hops or the like A01D0046300000;needle manipulators for surgery A61B0017062000;manipulators associated with rolling mills B21B0039200000;manipulators associated with forging machines B21J0013100000;means for holding wheels or parts thereof B60B0030000000;cranes B66C;arrangements for handling fuel or other materials which are used within nuclear reactors G21C0019000000;structural combination of manipulators with cells or rooms shielded against radiation G21F0007060000)
B26B,0.0914,-0.2169,5,536,98262,HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR (for harvesting A01D;for horticulture. for forestry A01G;for butchering or meat treatment A22;for manufacturing or repairing footwear A43D;nail clippers or cutters A45D0029020000;kitchen equipment A47J;for surgical purposes A61B0017000000;for metal B23D;cutting by abrasive fluid jets B24C0005020000;plier-like tools with cutting edges B25B0007220000;pincers B25C0011020000;handles for hand implements. in general B25G;guillotine-type cutters B26D;for erasing B43L0019000000;for textile materials D06H)
B26D,0.2385,-0.411,2,592,476696,CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING. PUNCHING. CUTTING-OUT. STAMPING-OUT OR SEVERING (disintegrating by knives or other cutting or tearing members which chop material into fragments B02C0018000000;cutting by abrasive fluid jets B24C0005020000;hand-held cutting tools B26B)
B26F,0.1513,-0.4704,2,548,247257,PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING (marking-out. perforating or making buttonholes A41H0025000000; manufacturing footwear A43D; surgery A61B; punching metal B21D; drilling metal B23B; cutting of metal by applying heat locally. e.g. flame cutting. B23K; cutting by abrasive fluid jets B24C0005020000; details common to machines for severing B26D; drilling wood B27C; drilling stone B28D; working of plastics or substances in a plastic state B29; making boxes. cartons. envelopes or bags. of paper or similarly worked materials. e.g. metal foil. B31B; of glass C03B; of leather C14B; of textile materials D06H; for light guides G02B0006250000; of tickets G07B)
B27B,0.2585,-0.2469,5,466,112976,SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR (saws specially adapted for pruning or debranching A01G0003080000;sawing apparatus specially adapted for felling trees A01G0023091000;features not restricted to a particular type of wood saw B23D. e.g. attaching saw blades B23D0051000000;machine tool frames. beds. pillars or like members. in general B23Q0001010000)
B27C,0.351,-0.4271,5,364,67786,PLANING. DRILLING. MILLING. TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL  (machine tools in general B23;working wood using abrasive. e.g. sanding. devices B24;tools for these purposes B27G)
B27D,0.4695,-0.5075,5,407,80733,WORKING VENEER OR PLYWOOD (applying liquids or other fluent materials to surfaces in general B05;grinding. sanding. or polishing of wood B24;applying adhesives or glue to surfaces of wood B27G0011000000;manufacture of veneer B27L0005000000)
B27F,0.1254,-0.3874,5,345,40627,DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES (hand-held nailing or stapling tools B25C;manufacture of cases. trunks or boxes from wood B27M0003340000;connections for building structures in general. e.g. dowels for use in building constructions E04B0001380000;jointing elements in general. e.g. dowels in general. F16B)
B27G,0.3684,-0.4019,5,427,91266,ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS; TOOLS FOR WORKING WOOD OR SIMILAR MATERIALS (tools for grinding B24D;sawing tools B27B0033000000;tools for slotting or mortising machines B27F0005020000;tools for the manufacture of wood shavings. chips. powder or the like B27L0011000000); SAFETY DEVICES FOR WOOD WORKING MACHINES OR TOOLS
B27H,0.5901,-0.5586,5,198,6908,BENDING WOOD OR SIMILAR MATERIAL; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
B27J,0.6107,-0.5916,5,310,18015,MECHANICAL WORKING OF CANE. CORK. OR SIMILAR MATERIALS
B27K,0.675,-0.4017,5,487,96527,PROCESSES. APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING. STAINING. DYEING OR BLEACHING OF WOOD. OR FOR TREATING OF WOOD WITH PERMEANT LIQUIDS. NOT OTHERWISE PROVIDED FOR; CHEMICAL OR PHYSICAL TREATMENT OF CORK. CANE. REED. STRAW OR SIMILAR MATERIALS
B27L,0.5899,-0.4052,5,392,40799,REMOVING BARK OR VESTIGES OF BRANCHES (forestry A01G); SPLITTING WOOD; MANUFACTURE OF VENEER. WOODEN STICKS. WOOD SHAVINGS. WOOD FIBRES OR WOOD POWDER
B27M,0.3813,-0.4562,5,464,94572,WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B-B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES
B27N,0.5821,-0.446,2,478,113046,MANUFACTURE BY DRY PROCESSES OF ARTICLES. WITH OR WITHOUT ORGANIC BINDING AGENTS. MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL (containing cementitious material B28B;shaping of substances in a plastic state B29C;fibreboards made from fibrous suspensions D21J;drying F26B0017000000)
B28B,0.2504,0.0624,6,588,368086,SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS; SHAPING SLAG; SHAPING MIXTURES CONTAINING CEMENTITIOUS MATERIAL. e.g. PLASTER (foundry moulding B22C;working stone or stone-like material B28D;shaping of substances in a plastic state. in general B29C;making layered products not composed wholly of these substances B32B)
B28C,0.392,0.2277,3,480,106918,PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL. e.g. PLASTER (preparing material for foundry moulds B22C0005000000)
B28D,0.1078,-0.044,5,485,155316,WORKING STONE OR STONE-LIKE MATERIALS (machinery for. or methods of. mining or quarrying E21C)
B29B,0.4509,-0.2214,2,602,730005,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS
B29C,0.1412,-0.2622,2,640,3813167,SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE. NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS. e.g. REPAIRING (making preforms B29B0011000000;  making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)
B29D,0.1075,-0.3682,2,619,918184,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE (making granules B29B0009000000;making preforms B29B0011000000)
B29K,0.2181,-0.3416,2,595,891376,INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B. B29C OR B29D. RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR REINFORCEMENTS. FILLERS OR PREFORMED PARTS. e.g. INSERTS
B29L,0.1292,-0.3377,2,602,1022641,INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C. RELATING TO PARTICULAR ARTICLES
B30B,0.4386,-0.0042,5,601,342159,PRESSES IN GENERAL; PRESSES NOT OTHERWISE PROVIDED FOR (producing ultra-high pressure or ultra-high pressure and high temperature to effect modifications of a substance. e.g. for making artificial diamonds B01J0003000000)
B31B,0.1987,-0.5155,2,504,187864,MAKING CONTAINERS OF PAPER. CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making wound articles. e.g. wound tubes. B31C;combined making and filling B65B)
B31C,0.3073,-0.5708,2,313,15047,MAKING WOUND ARTICLES. e.g. WOUND TUBES. OF PAPER. CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER
B31D,0.1257,-0.6106,2,440,54466,MAKING ARTICLES OF PAPER. CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER. NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C (manufacture by dry processes of articles made from particles or fibres consisting of wood or other lignocellulosic or like organic material B27N;making layered products not composed wholly of paper or cardboard B32B;making articles from cellulosic fibrous suspensions. e.g. wood pulp. D21J)
B31F,0.2891,-0.6204,2,450,89401,MECHANICAL WORKING OR DEFORMATION OF PAPER. CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making layered products not composed wholly of paper or cardboard B32B)
B32B,0.133,-0.3018,2,637,3425227,LAYERED PRODUCTS. i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT. e.g. CELLULAR OR HONEYCOMB. FORM
B33Y,0.2484,-0.1113,2,562,358984,ADDITIVE MANUFACTURING. i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION. ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING. e.g. BY 3D PRINTING. STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING
B41B,-0.6973,-0.6403,1,360,24689,MACHINES OR ACCESSORIES FOR MAKING. SETTING. OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRONIC COMPOSING DEVICES (photographic devices in general G03)
B41C,-0.0988,-0.8169,2,380,102110,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES (photomechanical processes for producing printing surfaces G03F;photoelectrical processes for producing printing surfaces G03G)
B41D,-0.0406,-0.8965,2,186,4811,APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING; SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES (marking or engraving metal by the action of a high concentration of electric current B23H0009060000;type. machines. or accessories for making. setting. or distributing type B41B;processes for the manufacture or reproduction of printing surfaces B41C;machines or apparatus for engraving in general. or for embossing B44B0003000000. B44B0005000000;chemical etching of metal C23F0001000000;electrolytic etching C25F0003000000;photomechanical reproduction G03F)
B41F,-0.1376,-0.6987,2,577,303898,PRINTING MACHINES OR PRESSES (manifolding devices or office printing machines B41L)
B41G,-0.108,-0.9926,2,164,4287,APPARATUS FOR BRONZE PRINTING. LINE PRINTING. OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES; AUXILIARY APPARATUS FOR PERFORATING IN CONJUNCTION WITH PRINTING (perforating in general B26D;production of decorations B44C;perforating in conjunction with sheet or web delivery B65H0035000000;folding or unfolding thin material. e.g. sheets. webs. B65H0045000000. B65H0047000000)
B41J,-0.3393,-0.5091,2,594,1248202,TYPEWRITERS; SELECTIVE PRINTING MECHANISMS. i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS
B41K,-0.3332,-0.7565,2,414,40581,STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES (marking meat A22C0017100000;embossing combined with printing B41F0019000000;selective printing mechanisms B41J;embossing decorations or marks B44B0005000000;marking or coding completed packages B65B0061260000;ticket printing and issuing. fare registering. non-printing aspects of franking apparatus G07B)
B41L,-0.4197,-0.8295,2,377,57005,APPARATUS OR DEVICES FOR MANIFOLDING. DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES (printing presses or machines for industrial purposes B41F;stamps. stamping or numbering devices B41K)
B41M,0.0187,-0.6106,2,558,667992,PRINTING. DUPLICATING. MARKING. OR COPYING PROCESSES; COLOUR PRINTING (correction of typographical errors B41J;processes for applying transfer pictures or the like B44C0001160000;fluid media for correction of typographical errors by coating C09D0010000000;printing textiles D06P)
B41N,-0.0071,-0.7796,2,400,107510,PRINTING PLATES OR FOILS (photosensitive materials G03); MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING. INKING. DAMPING. OR THE LIKE; PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM
B42B,-0.3119,-0.8841,2,263,26333,PERMANENTLY ATTACHING TOGETHER SHEETS. QUIRES. OR SIGNATURES. OR PERMANENTLY ATTACHING OBJECTS THERETO (nailing or stapling in general B25C. B27F;machines for both collating or gathering and permanently attaching together sheets or signatures B42C0001120000;temporarily attaching sheets together B42F)
B42C,-0.4202,-0.8188,2,302,66526,BOOKBINDING (cutting or perforating machines. devices. or tools B26;folding sheets or webs B31F;ornamenting books B44)
B42D,-0.5105,-0.6071,2,518,357954,BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR READING APPARATUS
B42F,-0.4443,-0.6686,2,452,68429,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B0019000000;book rests A47B0023000000)
B43K,-0.1718,-0.5804,2,489,76282,IMPLEMENTS FOR WRITING OR DRAWING (containers. casings or accessories for cosmetic substances. e.g. shaving soap. lipstick. make-up. A45D0034000000. A45D0040000000)
B43L,-0.4373,-0.5328,2,487,106035,ARTICLES FOR WRITING OR DRAWING UPON; ACCESSORIES FOR WRITING OR DRAWING (workshop equipment for marking-out work B25H0007000000;teaching hand-writing or drawing G09B0011000000)
B43M,-0.1953,-0.667,2,357,34695,BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR (stapling devices B25C. B27F;devices for temporarily attaching sheets together B42F;adhesive tape dispensers B65H0035070000)
B44B,-0.0413,-0.4701,5,432,45209,MACHINES. APPARATUS OR TOOLS FOR ARTISTIC WORK. e.g. FOR SCULPTURING. GUILLOCHING. CARVING. BRANDING OR INLAYING (ornamenting leather C14B)
B44C,0.0428,-0.4803,2,571,316863,PRODUCING DECORATIVE EFFECTS (processes for applying liquids or other fluent materials to surfaces. in general B05D;shaping of plastics or substances in a plastic state B29C;printing processes to produce transfer pictures B41M0003120000;thermographic duplication or marking methods B41M0005000000); MOSAICS; TARSIA WORK (imitation of mosaic or tarsia-work patterns B44F0011040000); PAPERHANGING
B44D,0.1778,-0.4356,2,524,74036,PAINTING OR ARTISTIC DRAWING. NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES (surface treatment in general. see the relevant places. e.g. applying liquids or other fluent materials B05)
B44F,-0.0459,-0.5907,2,478,114644,SPECIAL DESIGNS OR PICTURES
B60B,-0.418,0.2962,4,561,233398,VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000. by forging. hammering or pressing B21K0001280000); CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION
B60C,0.0614,-0.1841,2,559,364552,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES
B60D,-0.6679,0.5433,4,382,53001,VEHICLE CONNECTIONS (components of brake systems B60T0017040000)
B60F,-0.7525,0.6912,4,311,31073,VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA. e.g. AMPHIBIOUS VEHICLES (air-cushion vehicles B60V)
B60G,-0.6005,0.5044,4,488,225141,VEHICLE SUSPENSION ARRANGEMENTS (air-cushion vehicles B60V;connections between vehicle bodies and vehicle frames B62D0024000000)
B60H,-0.1871,0.5948,4,519,305487,ARRANGEMENTS OF HEATING. COOLING. VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES
B60J,-0.5167,0.1364,6,539,395321,WINDOWS. WINDSCREENS. NON-FIXED ROOFS. DOORS. OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES (fastening. suspending. closing. or opening of such devices E05)
B60K,-0.4772,0.4575,4,586,1406723,ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING. AIR INTAKE. GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES
B60L,-0.6274,0.4077,4,528,855670,PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000. B60K0006200000;arrangements or mounting of electrical gearing in vehicles B60K0017120000. B60K0017140000;preventing wheel slip by reducing power in rail vehicles B61C0015080000;dynamo-electric machines H02K;control or regulation of electric motors H02P); SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES (electric coupling devices combined with mechanical couplings of vehicles B60D0001640000;electric heating for vehicles B60H0001000000); ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL (control or regulation of electric motors H02P); MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES
B60M,-0.7421,0.4149,4,375,51791,POWER SUPPLY LINES. OR DEVICES ALONG RAILS. FOR ELECTRICALLY-PROPELLED VEHICLES (control of points or safety arrangements along railway lines B61L;construction of rails or points in general E01B)
B60N,-0.4368,-0.0211,6,534,343567,SEATS SPECIALLY ADAPTED FOR VEHICLES; VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR
B60P,-0.4097,0.3354,4,583,310418,VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT. TO CARRY. OR TO COMPRISE SPECIAL LOADS OR OBJECTS (vehicles with special provisions for transporting patients or disabled persons. or their personal conveyances A61G0003000000)
B60Q,-0.7159,0.143,1,513,435993,ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES. THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR. FOR VEHICLES IN GENERAL
B60R,-0.5023,0.1549,4,624,1688486,VEHICLES. VEHICLE FITTINGS. OR VEHICLE PARTS. NOT OTHERWISE PROVIDED FOR (fire prevention. containment or extinguishing specially adapted for vehicles A62C0003070000)
B60S,-0.3734,0.2812,4,533,237942,SERVICING. CLEANING. REPAIRING. SUPPORTING. LIFTING. OR MANOEUVRING OF VEHICLES. NOT OTHERWISE PROVIDED FOR
B60T,-0.6714,0.5661,4,543,457245,VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF. IN GENERAL (control of electrodynamic brake systems B60L0007000000;conjoint control of brakes and other drive units of vehicles B60W); ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES
B60V,-0.4212,0.5206,4,289,15848,AIR-CUSHION VEHICLES
B60W,-0.6708,0.436,4,440,786809,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT
B61B,-0.6673,0.4913,4,486,121718,RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR (lifts or hoists. elevators. escalators. moving walkways B66B)
B61C,-0.8208,0.6555,4,411,61449,LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60;frames or bogies B61F;special railroad equipment for locomotives B61J. B61K)
B61D,-0.6811,0.531,4,527,161049,BODY DETAILS OR KINDS OF RAILWAY VEHICLES (vehicles in general B60; adaptation of vehicles to special systems B61B; underframes B61F)
B61F,-0.8094,0.6771,4,407,59970,RAIL VEHICLE SUSPENSIONS. e.g. UNDERFRAMES. BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS. OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES (for vehicles in general B60;axles or wheels B60B;vehicle tyres B60C)
B61G,-0.8357,0.6878,4,319,22936,COUPLINGS SPECIALLY ADAPTED FOR RAILWAY VEHICLES; DRAUGHT OR BUFFING APPLIANCES SPECIALLY ADAPTED FOR RAILWAY VEHICLES
B61H,-0.8399,0.7404,4,326,39789,BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES; ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES (electrodynamic braking of vehicles B60L. in general H02K;arrangements in rail vehicles for adjusting wheel-braking force to meet varying vehicular or permanent-way conditions B60T0008000000;transmitting braking action from initiating means to ultimate brake actuator with power assistance or drive. brake systems incorporating such transmitting means. e.g. air-pressure brake systems. B60T0013000000;construction. arrangement or operation of valves incorporated in power brake systems B60T0015000000;component parts. details or accessories of brake systems B60T0017000000;brakes in general F16D)
B61J,-0.8219,0.6487,4,251,10151,SHIFTING OR SHUNTING OF RAIL VEHICLES (shifting vehicles in general B60S;marshalling systems B61B)
B61K,-0.8243,0.4904,4,378,44927,AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS. NOT OTHERWISE PROVIDED FOR (energy-storing brakes B61H;protection of permanent way against weather influences E01B;rail cleaning. snow ploughs E01H)
B61L,-0.9624,0.2995,4,429,108450,GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC (brakes or auxiliary equipment B61H. B61K;point or crossing construction E01B)
B62B,-0.4996,0.145,4,535,159581,HAND-PROPELLED VEHICLES. e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C;propulsion of sledges by driver or engine B62M)
B62C,-0.7582,0.424,4,198,2173,VEHICLES DRAWN BY ANIMALS
B62D,-0.4796,0.3578,4,598,1024056,MOTOR VEHICLES; TRAILERS (steering. or guiding on a desired track. of agricultural machines or implements A01B0069000000;wheels. castors. axles. increasing wheel adhesion B60B;vehicle tyres. tyre inflation or tyre changing B60C;connections between vehicles of a train or the like B60D;vehicles for use on rail and road. amphibious or convertible vehicles B60F;suspension arrangements B60G;heating. cooling. ventilating or other air treating devices B60H;windows. windscreens. non-fixed roofs. doors or similar devices. protective coverings for vehicles not in use B60J;propulsion plant arrangements. auxiliary drives. transmissions. controls. instrumentation or dashboards B60K;electric equipment or propulsion of electrically-propelled vehicles B60L;power supply for electrically-propelled vehicles B60M;passenger accommodation not otherwise provided for B60N;adaptations for load transportation or to carry special loads or objects B60P;arrangement of signalling or lighting devices. the mounting or supporting thereof or circuits therefor. for vehicles in general B60Q;vehicles. vehicle fittings or vehicle parts. not otherwise provided for B60R;servicing. cleaning. repairing. supporting. lifting. or manoeuvring. not otherwise provided for B60S;brake arrangements. brake control systems or parts thereof B60T;air-cushion vehicles B60V;motorcycles. accessories therefor B62J. B62K;testing of vehicles G01M)
B62H,-0.9872,0.4205,4,308,50601,CYCLE STANDS; SUPPORTS OR HOLDERS FOR PARKING OR STORING CYCLES; APPLIANCES PREVENTING OR INDICATING UNAUTHORISED USE OR THEFT OF CYCLES; LOCKS INTEGRAL WITH CYCLES; DEVICES FOR LEARNING TO RIDE CYCLES
