id,x,y,cluster,weight<Links>,weight<Total link strength>,label
A24D,0.7833,-0.4145,2,396,86417,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
A24F,0.4514,-0.2643,2,496,123432,SMOKERS’ REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes. shaped like cigars. cigarettes or pipes A61M0015060000)
A41B,0.1372,-0.8524,2,424,109547,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41C,0.0949,-0.9514,2,285,31323,CORSETS; BRASSIÈRES
A41D,0.0103,-0.6379,2,572,361758,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
A41F,-0.1102,-0.8503,2,369,41318,GARMENT FASTENINGS; SUSPENDERS
A41G,0.1629,-0.656,2,385,22792,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
A41H,0.0371,-0.7884,2,398,64578,APPLIANCES OR METHODS FOR MAKING CLOTHES. e.g. FOR DRESS-MAKING OR FOR TAILORING. NOT OTHERWISE PROVIDED FOR
A42B,-0.3107,-0.6224,2,461,85941,HATS; HEAD COVERINGS  (headbands A41D0020000000; head-scarves A41D0023000000)
A42C,-0.2369,-0.8554,2,248,12574,MANUFACTURING OR TRIMMING HEAD COVERINGS. e.g. HATS
A43B,-0.0608,-0.6952,2,522,184224,CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR
A43C,-0.1399,-0.8768,2,338,40956,FASTENINGS OR ATTACHMENTS FOR FOOTWEAR; LACES IN GENERAL
A43D,0.0603,-0.7046,2,426,50336,MACHINES. TOOLS. EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR (sewing D05B)
A44B,-0.1578,-0.5703,2,541,147899,BUTTONS. PINS. BUCKLES. SLIDE FASTENERS. OR THE LIKE (fastenings specially adapted for footwear A43C)
A44C,-0.3997,-0.4343,1,509,91422,PERSONAL ADORNMENTS. e.g. JEWELLERY; COINS
A45B,-0.4718,-0.2645,6,442,35414,WALKING STICKS (walking aids. e.g. sticks. for blind persons A61H0003060000); UMBRELLAS; LADIES' OR LIKE FANS (cane or umbrella stands or holders A47G0025120000)
A45C,-0.3939,-0.4076,6,547,206025,PURSES; LUGGAGE; HAND CARRIED BAGS
A45D,0.1505,-0.4225,2,557,266388,HAIRDRESSING OR SHAVING EQUIPMENT   (wigs. toupees or the like A41G0003000000. A41G0005000000;  hairdressers' chairs A47C0001040000;  hair cutting appliances. razors B26B); EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS. e.g. FOR MANICURING OR PEDICURING
A45F,-0.4071,-0.3593,6,465,107457,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY
A46B,0.2074,-0.4441,2,527,145992,BRUSHES (handles not integral with brushware B25G)
A46D,0.3501,-0.6205,2,367,35216,MANUFACTURE OF BRUSHES
A47B,-0.3419,-0.1586,6,609,534219,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (jointing of furniture F16B0012000000)
A47C,-0.3323,-0.2364,6,578,371260,CHAIRS; SOFAS; BEDS
A47D,-0.5589,-0.2694,6,379,46809,FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B0039000000. A47B0041000000)
A47F,-0.337,-0.1816,6,551,227892,SPECIAL FURNITURE. FITTINGS. OR ACCESSORIES FOR SHOPS. STOREHOUSES. BARS. RESTAURANTS. OR THE LIKE; PAYING COUNTERS
A47G,-0.0638,-0.3162,6,610,489965,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000;knives B26B)
A47H,-0.2769,-0.2827,6,431,41507,FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05;roller blinds E06B;special arrangements or measures in connection with doors or windows. e.g. for ventilation or sealing. E06B0007000000)
A47J,0.4814,0.1358,7,595,482621,KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES
A47K,0.0803,-0.0564,6,570,350745,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe. sinks E03C;water-closets E03D); TOILET ACCESSORIES (cosmetic equipment A45D)
A47L,0.0978,-0.079,6,602,365506,DOMESTIC WASHING OR CLEANING (brushes A46B;cleaning quantities of bottles or of other hollow articles of one kind B08B0009000000;laundry D06F); SUCTION CLEANERS IN GENERAL (cleaning in general B08)
A61B,-0.2117,-0.2434,1,631,2640665,DIAGNOSIS; SURGERY; IDENTIFICATION (usefulness limited to only animals A61D)
