IPC_A,IPC_B,Co-occurrence
A61K,A61P,3987629
A61K,C07D,1709966
A61P,C07D,1358374
A61K,C07K,1060547
C08K,C08L,1020124
A61K,C12N,943521
G06F,H04L,870541
G06F,G06Q,859413
H04L,H04W,823549
C07K,C12N,792653
A61K,A61Q,773317
A61P,C07K,664118
A61P,C12N,582429
C07C,C07D,564780
C08J,C08L,547364
C12N,C12P,540885
F21S,F21V,522054
A61K,C07C,497092
C12N,C12Q,486255
H04B,H04L,480903
H04B,H04W,470216
B01J,C07C,449183
G06F,H04N,437721
G06T,H04N,433914
C12Q,G01N,431931
C08G,C08L,422174
F21V,F21Y,409144
G06F,G06N,405635
C12N,C12R,396252
B29C,B29L,384332
C12N,G01N,375422
A61K,G01N,374438
C07K,G01N,363942
G06F,G06T,348727
B01D,B01J,343707
G06F,G06K,334266
C07K,C12P,329979
A61P,C07C,320125
B01D,C02F,316194
A61K,C12P,314813
C07B,C07C,312980
C08F,C08L,310166
C08J,C08K,309330
A01N,A01P,305335
G03B,H04N,295908
A23L,A61K,278502
A61B,A61M,277811
H01L,H05K,277685
G02B,G02F,274534
A01N,C07D,266294
F21S,F21Y,264224
G03F,H01L,263259
A61K,C07H,261658
C12P,C12R,255414
A61B,A61F,254372
G02B,H04N,252935
H01L,H10B,251233
B01J,C07B,244455
B29C,B32B,240506
B29C,B29K,239743
C23C,H01L,235791
A61K,C12Q,235791
H04M,H04W,230277
B29C,B29D,224318
G06F,H04M,223891
H04L,H04N,223884
G02B,G03B,223027
H04B,H04J,221710
B01J,C01B,221379
A61P,G01N,220005
C08G,C09D,215873
H04J,H04L,215400
H04L,H04Q,212074
A61P,C12P,209082
C08L,C09D,208903
G06Q,H04L,207543
H04L,H04M,207242
G06K,G06T,206421
C07K,C12Q,205208
C08G,C08J,204421
G06T,G06V,204154
C08G,C08K,202958
C07H,C12N,197722
C21D,C22C,195858
H04Q,H04W,195443
G11B,H04N,194279
H04M,H04Q,186039
A01N,A61K,183971
F28D,F28F,181262
B29C,C08J,180537
E04B,E04C,180464
B29B,B29C,180372
G06F,H04W,180187
G06F,G09G,179467
B32B,C08J,177953
A61F,A61L,177370
C07D,C07F,176014
G06N,G06V,175925
F21V,F21W,173372
H01L,H10N,172396
A61B,G01N,171035
A23L,A61P,169447
A61P,C07H,169194
B41J,H04N,166790
B32B,C08L,164619
B23B,B23Q,163690
C08F,C08G,162852
H01L,H05B,162330
A61F,A61M,161744
A61K,C12R,161577
G06K,H04N,160763
G06N,G06Q,159846
G06K,G06Q,159642
B29C,C08L,159298
C08F,C08J,158986
A61K,C07F,157634
G09G,H04N,156217
G02F,H01L,155117
A61K,A61L,154472
A01H,C12N,153647
G02F,G09F,153138
H04B,H04M,151658
F02D,F02M,151426
C08F,C09D,150771
F21S,F21W,149639
A61P,A61Q,147312
G06N,G06T,147095
G02F,G09G,146932
A61P,C12Q,146738
H04B,H04Q,145796
E04B,E04H,144062
B60K,F16H,142423
A61B,A61N,140904
C08F,C08K,140285
B01J,C02F,139793
G06F,G11C,139102
B41J,G06F,138945
C07C,C07F,138562
B29K,B29L,138477
G01B,G01N,138333
C07K,C12R,138067
H01M,H02J,137769
C12P,G01N,137399
A01N,C07C,136089
B60K,B60W,133232
B32B,B65D,133163
B01J,C10G,132234
G11C,H01L,131232
G06K,G06N,129989
C07B,C07D,129857
B01D,C01B,129363
C08K,C09D,128581
H01R,H05K,128509
C12P,C12Q,128231
C08L,C09K,128022
C10M,C10N,126635
B01L,G01N,125901
C07H,C12P,124526
H01L,H04N,124406
C07H,C07K,124146
H04J,H04W,123334
F02B,F02M,122507
A61P,C12R,121363
G02B,H01L,120834
G05B,G06F,120684
B41J,G03G,117418
B22F,C22C,117319
F27B,F27D,116744
A61B,G06T,116360
C08L,C09J,116314
B29C,B33Y,114990
F02B,F02D,114647
B60R,B62D,114176
G06F,G06V,113965
H01J,H01L,113224
B32B,C09J,112982
C07H,C12Q,112773
A61P,C07F,111514
C09K,H01L,110187
G06F,G11B,109624
B01J,C07D,109105
E04B,E04F,108436
G06F,G10L,107052
H02J,H02M,106849
C07D,C09K,106741
H04M,H04N,106549
B05D,C09D,106083
B65B,B65D,104654
C08K,C09K,104377
C08J,C09D,104057
G06F,H05K,103992
G01C,G08G,103816
B01D,G01N,103281
G01R,H01L,103002
G03G,H04N,101875
B60L,H02J,101522
B60K,B60L,101096
B65H,G03G,100772
C22C,C22F,100592
G06F,H04B,98123
B01D,F01N,98035
C08G,C09J,97435
H04B,H04N,96901
B29C,B65D,96767
G01M,G01N,96054
C30B,H01L,95745
B41J,B41M,94850
F01D,F02C,94752
A61B,G16H,94747
F21W,F21Y,94601
G01C,G01S,94307
A61K,A61M,93545
G01R,G06F,93459
G06Q,H04W,92784
C07C,C09K,92655
B29C,C08K,92599
C12M,G01N,92568
C01B,H01M,92291
G06F,H01L,92063
B01J,C08F,91798
C12M,C12N,91611
A61B,G02B,91450
C07C,C08G,91172
F21V,G02B,90045
A01N,C12N,88934
A61B,G06F,88240
B64C,B64D,87706
C22C,C23C,87668
F16D,F16H,87642
B32B,C08K,87589
F24F,F25B,87534
G09F,H01L,87404
B01D,C07C,86951
B01D,B08B,86265
G06F,H03M,85745
H03M,H04L,85614
G11C,H10B,84949
B26D,B26F,84454
E04B,E04G,84431
B05C,B05D,84335
H01Q,H04B,84089
G01J,G01N,84050
C08L,H01B,83060
A61K,C08L,82294
A01C,A01G,81914
A23L,A23P,81889
G06Q,G07F,81401
G01B,G01D,81054
C08G,C09K,80696
G01N,G01R,80628
C12M,C12Q,80099
H01R,H02G,79992
B41M,C09D,79923
B32B,C09D,79804
B60K,B62D,79396
G06F,H03K,79305
C07C,C08F,78693
G06F,G16H,78568
A01N,A61P,78385
B60L,H01M,78361
B32B,H05K,77719
G01R,H02J,76816
A23B,A23L,76269
A61K,C07J,76213
A23K,A61K,76109
B65B,B65G,75889
G06Q,H04N,75453
B05D,B32B,75195
D01D,D01F,75106
G02B,H01S,75100
B01J,G01N,74930
C03B,C03C,74388
A23L,C12N,74209
B60K,B60R,73878
B32B,G02B,73586
B24B,H01L,73360
B41J,G06K,73358
G02B,G03F,73351
A61K,C11D,73276
G06F,H04Q,73161
B41J,B65H,73063
F21K,F21V,72954
C08F,C09J,72854
C09K,G02F,72759
G06T,G09G,72701
A01K,C12N,72687
H01L,H01S,72386
C07H,G01N,72115
G01S,H04W,71982
A61F,A61K,71497
A23C,A23L,71412
C09D,C09K,71330
B60N,B60R,71139
A61B,A61L,70811
C07D,C07K,70546
H03M,H04N,70525
A61K,B01J,69847
C08F,G03F,69700
G01N,G06T,69561
H04H,H04N,69371
H04J,H04Q,69346
B60L,B60W,69120
B01D,B01F,69098
C12Q,C12R,68690
A47C,B60N,67904
G09F,G09G,67806
B23D,B23Q,67651
B32B,C08G,67466
G01N,G06F,67465
B01F,B01J,67415
C08L,H01L,67405
A23G,A23L,67400
G01N,H01L,67369
C08F,C09K,67342
G06F,H02J,67237
G01N,G02B,67231
G06Q,G06T,67226
G01N,H01J,67213
C09D,C09J,67110
A61B,G01R,67013
C09K,H10K,66787
C08K,H01B,66756
E05B,E05C,66552
G06F,G07F,66462
G02B,G09F,66225
C07C,C10G,65736
F21V,H05B,65087
A63F,G06F,64944
A61J,A61M,64247
C07D,C07H,64188
F25B,F25D,63902
G06K,H04L,63749
B29C,F16L,63685
B01J,C07F,62955
B23K,H01L,62929
C08G,H01L,62848
B01F,C02F,62666
C07D,C08G,62636
H01G,H01M,62514
H02H,H02J,62514
A61L,A61M,62477
G09G,H01L,62129
B29K,C08J,61949
C07F,C09K,61808
C09K,E21B,61776
A61Q,C11D,61717
C23C,H01J,61668
B32B,C23C,61620
E05D,E06B,61470
F02B,F02F,61465
H01L,H03K,61317
G05B,G05D,61209
H02M,H02P,61133
B60W,G08G,60965
C09B,D06P,60940
F24C,H05B,60896
G06F,G09B,60373
B65D,B65G,60189
B22D,C22C,60174
A01P,C07D,60114
G06V,H04N,60096
G08B,H04N,59831
B60K,F02D,59823
G06K,G06V,59715
F21V,G02F,59373
G02F,H04N,59266
A61K,C08B,59256
B41J,C09D,59066
B60C,C08L,58577
B28B,C04B,58480
F21K,F21Y,58104
F01N,F02D,57832
B05B,B65D,57830
A61K,C08G,57725
G01B,G06T,57680
C12R,G01N,57602
B05B,B05D,57531
B08B,F26B,57436
A61F,A61H,57400
A23K,A23L,57326
H02K,H02P,57281
G01B,G01C,57156
B60G,F16F,57147
C03C,G02B,56736
B60W,F02D,56700
B23K,H05K,56296
B29B,C08J,56045
B32B,C03C,55991
E05F,E06B,55969
G01R,H01M,55963
A61L,A61P,55723
B22F,B33Y,55589
G01C,G06F,55391
G01S,H04B,55376
B60Q,B60R,55257
A01N,C07F,55126
A61M,A61N,55123
H01L,H10K,55065
B01D,F24F,55035
B60J,B60R,54816
C01G,H01M,54670
B60W,F16H,54628
G06Q,H02J,54101
C08K,C09J,54097
B01J,C08G,54097
B32B,H01L,54039
G06N,H04L,54038
A61B,H04N,53547
A61J,B65D,53433
H01B,H02G,53431
A61L,B01D,53364
E04B,E04D,53354
C07D,G01N,53323
C08J,C09K,53165
A61K,C07B,53127
H01B,H05K,53030
F16L,H02G,52671
G11C,H03K,52671
G02B,H04B,52527
B22C,B22D,52516
B32B,D04H,52349
B42D,G06K,52343
C22C,H01F,52254
B60T,F16D,52236
F24J,F24S,52180
A61H,A61N,52044
B05D,C23C,52024
G02B,G06F,51967
A61K,C09K,51898
H04N,H04W,51636
F15B,F16K,51570
A61P,C07J,51493
C23C,C25D,51410
B29L,B32B,51341
B21C,B21D,51341
C21D,C23C,51285
G03B,G03G,51267
A01K,A61K,51231
A23L,A61Q,51118
B29D,B32B,50811
C07D,C09B,50745
G01C,G09B,50724
A61F,A61N,50695
G09F,H05B,50595
C01B,C01G,50534
B23K,C22C,50451
E02B,E02D,50401
C07F,C08G,50365
A01H,C07K,50341
B05B,B05C,50219
G06Q,H04M,50139
G05F,H02M,50117
G02B,G02C,50104
C07D,H10K,50060
H01B,H01R,50006
C01B,C07C,49956
G01R,H02H,49935
F16K,G05D,49749
B01J,F01N,49649
C08J,C09J,49565
G06F,G09F,49508
G09F,H05K,49503
C07C,C07K,49428
E05D,E05F,49272
B29K,B32B,49254
G06Q,G06V,49254
B60K,F16D,49215
B60R,G08G,48735
A61B,A61K,48397
G06K,H04B,48270
C01B,C04B,48019
F16M,H04N,47956
A21D,A23L,47950
B65G,B65H,47947
F21L,F21V,47864
G03C,G03F,47832
C08F,G02B,47810
G01S,G08G,47806
B23P,B23Q,47411
F16K,F16L,47327
B32B,E04F,47257
G06K,G07F,47253
A61B,A61G,47248
C07F,C08F,47242
H01B,H01L,47224
C07D,C12N,47189
A23K,A61P,47020
B65G,H01L,47015
B01J,C08J,46819
G05B,G06Q,46799
B01J,C01G,46786
B60C,C08K,46706
G01D,G01R,46593
B02C,B07B,46560
G06Q,G16H,46499
H02M,H03K,46134
G02F,G06F,45938
A61L,C08L,45810
B62J,B62K,45809
C08K,H01L,45543
B29C,C08G,45445
F16F,F16M,45435
F01N,F02B,45384
B32B,C08F,45326
A61K,C08F,45265
C08L,G02B,45199
B29D,B29L,45133
B23Q,G05B,45112
B08B,H01L,45108
C04B,C09K,45070
A61H,A61M,44993
A23J,A23L,44674
B29C,G02B,44635
B29K,C08L,44625
F24D,F24H,44542
G01F,G01N,44496
A47G,B65D,44488
B60P,B62D,44235
A47J,B65D,44141
C07D,C12P,43983
F24S,H02S,43895
A01N,A61L,43780
B32B,E04B,43754
C07B,C07F,43725
A01K,C07K,43679
G01B,G01M,43676
H03H,H04B,43571
H05B,H10K,43503
B63B,B63H,43422
G06Q,G07C,43416
C07H,C12R,43410
A23L,C12P,43377
F21S,H05B,43356
H02M,H05K,43327
B65D,C08L,43292
A61Q,C07C,43274
B60R,H04N,43250
E04B,F16B,43092
C09B,C09D,43076
F21V,H01L,43072
B31B,B65D,42880
G01S,G06F,42860
B60R,B60W,42748
B29B,B29K,42616
C08L,H05K,42581
B21B,C21D,42511
C23F,H01L,42506
C09C,C09D,42463
A61J,A61K,42417
C23C,C30B,42384
G06F,G07C,42316
C09J,H01L,42086
F02D,F02P,42076
B01J,C04B,42045
G08B,H04W,42011
C03B,G02B,41899
G06F,G08B,41826
A61M,B01D,41756
F04B,F04C,41612
A01B,A01C,41612
H03M,H04B,41483
H02N,H10N,41474
H03K,H04L,41400
B29B,C08L,41398
B01J,C09K,41265
C08L,D01F,41232
B60K,B60T,41231
B23C,B23Q,41117
F01D,F04D,41069
C07D,C08K,40978
B60Q,F21V,40963
B01D,C10G,40871
B60Q,F21S,40843
H02H,H02M,40819
F16H,H02K,40762
C03C,C04B,40728
A61Q,C08L,40600
G01B,G02B,40544
E04B,E06B,40538
G09C,H04L,40512
B32B,E04C,40500
G01D,G01N,40467
B01J,H01M,40462
G01B,H01L,40255
B29D,B29K,40210
C04B,H01B,39989
A47J,F24C,39956
B32B,C04B,39913
B60G,B62D,39809
A61B,A61C,39720
G06K,G07C,39627
G01L,G01M,39446
C09K,H05B,39365
G02F,H01S,39299
A63F,G07F,39200
G09F,H04N,39167
E04C,E04G,39155
F16B,F16L,39086
G02B,G06T,38855
B21D,B30B,38843
B65B,B65H,38831
B32B,F16L,38787
G09G,H05B,38759
C08J,G02B,38699
E21B,G01V,38697
C04B,C23C,38693
F02F,F16J,38643
H04B,H04H,38462
C07C,C08L,38457
A61L,C12N,38452
B29C,B65B,38452
A45D,B65D,38442
C23C,C23F,38436
B41F,B65H,38401
B05D,C08J,38397
B23Q,B24B,38335
A01D,A01F,38324
G06N,G16H,38224
B01D,C08J,38166
G06Q,G08G,38119
B60J,E05F,38069
C07C,C08K,38022
G01J,G02B,38018
A61F,B32B,37970
B32B,D21H,37955
H01L,H05H,37918
B24B,B24D,37887
G01S,H01Q,37832
G07D,G07F,37786
G08G,G09B,37759
F25B,F28F,37759
G01R,H03K,37655
C07C,C11D,37553
B29C,C08F,37502
C08G,H01B,37483
C07D,C08F,37466
G02B,G11B,37277
A23K,C12N,37207
C08G,G03F,37192
G05B,H04L,37179
C09K,G01N,37141
B60T,B60W,37058
F16C,F16H,37038
F01C,F04C,37030
G01C,G06T,36965
H01B,H01M,36810
G08C,H04L,36664
H02J,H04B,36587
B21J,B21K,36540
G06F,G08G,36525
B62K,B62M,36504
A23D,A23L,36478
B25J,G05B,36412
A61B,G06K,36391
G10L,H04M,36371
F25B,F28D,36234
B60R,G06F,36179
H01H,H02B,36074
H03F,H04B,36028
C07C,C12P,36005
B29L,C08J,35978
C01G,C22B,35956
C08K,C09C,35873
H02M,H05B,35869
A47B,F16B,35863
B21B,C22C,35858
B29C,H01L,35848
B65D,B67D,35846
A01K,G01N,35799
G01B,G01S,35791
B21D,B23P,35790
B32B,D06N,35707
G03F,H05K,35524
A61L,C08J,35471
G02F,G03B,35444
B01J,C08L,35418
B23K,B23P,35403
C09K,C11D,35363
F21S,G02B,35357
H03K,H03M,35324
C09D,H01B,35296
H01J,H04N,35284
C07F,C08K,35235
B81B,B81C,35101
E21B,F16L,35086
G01D,G01P,34990
H01H,H01R,34987
H04N,H04Q,34975
B25J,B65G,34912
E04C,E04F,34876
G08G,H04W,34764
G01N,G01V,34714
B41J,G02B,34657
G10L,H04N,34631
B29D,C08J,34541
F21V,G09F,34534
G11B,H04L,34523
G10K,H04R,34516
B60R,H02G,34503
A47C,A61G,34439
G01C,G05D,34382
G06F,H01H,34317
A61M,A61P,34298
E05B,G07C,34297
G08B,H04M,34284
B82Y,C01B,34245
A47B,A47F,34232
A61P,C07B,34223
G06K,G11B,34197
C05F,C05G,34135
A01N,C12R,34029
B65D,C08J,33928
G11B,H01F,33920
G01R,H05K,33864
B01D,F23J,33835
G06T,G16H,33779
H01F,H02K,33776
B22F,H01F,33738
A61H,A63B,33718
C12Q,G16B,33673
A61Q,C07D,33630
B01D,B03C,33573
F21Y,H05B,33492
F04D,H02K,33439
D01F,D04H,33368
C04B,C08L,33324
B60R,E05B,33323
A61B,G01S,33247
H03G,H04B,33246
E02F,F15B,33185
G06F,G09C,33091
G02B,G09G,33070
B60L,H02P,33032
B01D,F02M,32860
E02D,E04B,32832
F16C,F16J,32822
B60J,B62D,32760
C04B,H01L,32756
A01N,C07K,32733
H01H,H02H,32730
C08G,H05K,32690
G11C,H10N,32676
G01S,G06T,32657
H01J,H05H,32637
B32B,B44C,32594
G06Q,G08B,32579
H02J,H02S,32564
B29D,G02B,32561
D01F,D06M,32560
B32B,H01B,32548
B32B,G09F,32505
C40B,G01N,32476
C08G,D01F,32440
H02J,H02P,32436
A61L,B01J,32366
G06Q,G07G,32364
C07D,C08L,32259
F23G,F23J,32230
B22F,C23C,32206
C21C,F27D,32155
H04H,H04L,32149
F23C,F23D,32127
C08G,G02B,32106
G01R,H01F,32106
G02F,H05B,32083
C08F,H01L,32061
G04C,G04G,32060
H01R,H02K,32032
A47G,A47J,32003
H04N,H05K,31900
F01L,F02D,31826
A23L,A47J,31801
C07D,H01L,31783
F16C,H02K,31783
G01S,H04N,31767
C08L,D06M,31760
C08B,C08L,31670
B01L,C12M,31660
C23C,H05K,31577
A61L,B08B,31555
B02C,B08B,31507
C25B,H01M,31482
G06Q,G09B,31480
G06K,H04W,31465
B23B,B23C,31413
C01G,C04B,31405
B22F,B29C,31382
A61K,C11B,31294
B65G,G06Q,31275
C07F,C08L,31275
A61B,G01T,31214
G06K,G08B,31114
F16C,F16D,31100
H02G,H05K,30991
C09D,G02B,30886
A61B,A61H,30809
A61P,C08B,30804
G01K,G01N,30788
F16M,G03B,30781
B32B,G02F,30763
B23P,B25B,30751
F01N,F02M,30750
C08J,H01B,30683
G03G,G06F,30650
A01G,A01N,30636
B29D,B60C,30586
C12Q,C40B,30566
A61K,B01D,30542
A01K,A61P,30515
G10L,H04L,30421
B60H,F24F,30388
B07C,B65G,30326
C04B,F27D,30280
G08B,H04L,30275
F21S,G02F,30236
G08C,H04B,30203
G11B,H03M,30190
B60K,H01M,30082
G01C,G01P,30066
H01L,H02M,30034
A23L,C12R,30008
E01F,E04H,29997
C04B,C09D,29971
C08K,H05K,29947
H03J,H04B,29941
H04M,H05K,29923
F01P,F02B,29911
C02F,C12N,29861
F04B,F04D,29830
B63B,E02B,29799
C08J,H05K,29770
H01P,H01Q,29741
G01B,G01L,29732
B08B,G01N,29724
B26D,B65H,29719
A61G,A61M,29714
C11D,D06L,29699
B41J,G06T,29692
C01B,C02F,29686
G01J,H01L,29674
B01D,C04B,29636
A61M,B65D,29557
G10L,H04R,29548
H04B,H05K,29509
B29C,B29F,29499
B60H,F25B,29429
H03F,H03G,29424
H04R,H04S,29387
G01N,H04N,29336
H03H,H10N,29317
B05D,B29C,29282
C08J,H01M,29267
H04M,H04R,29257
G05F,H02J,29236
F01L,F02B,29226
C21C,C22C,29223
B22D,B29C,29204
B60K,F02M,29193
A61K,A61N,29171
B23D,B27B,29083
G01L,G01N,29075
F16D,F16F,29058
H01B,H01G,28965
E04G,E04H,28926
A01G,C05G,28889
A01K,C12Q,28778
G01D,G08C,28754
G06T,H03M,28693
B05B,B08B,28646
H01F,H05K,28585
G01R,H01R,28581
B60K,F16F,28538
H01L,H01R,28529
H02B,H02G,28527
C08L,G03F,28523
A61G,A61H,28505
B29B,C08K,28453
G01D,G01L,28417
C11D,D06M,28280
A61Q,C09K,28271
G01D,G06F,28198
H01F,H02J,28197
B29B,B29D,28171
C01B,C01F,28162
G01N,G08B,28090
B01D,F26B,28080
B31B,B65B,28002
B22D,C21C,27998
A61L,F24F,27953
F02C,F23R,27928
F21Y,G02F,27919
A23F,A23L,27917
C08K,G02B,27907
G06T,G08G,27888
H01S,H04B,27874
F16J,F16L,27873
C23C,H05H,27800
H01J,H05B,27689
C09D,C23C,27677
H01G,H01L,27621
B60W,G05D,27615
A23L,B65D,27603
G01N,G06K,27599
H03K,H03L,27579
H02J,H05K,27542
C10G,C10L,27477
A47J,H05B,27473
C08G,D06M,27421
C12N,C40B,27403
A61K,C08K,27386
G02F,G03F,27303
A01G,A01M,27291
H01B,H10N,27274
B32B,B60R,27257
C07F,H10K,27247
B23D,B26D,27241
F21S,H01L,27228
A01B,A01D,27175
B01D,F16K,27170
C12M,C12P,27167
H01H,H03K,27128
C03C,C23C,27101
G05D,G08G,27100
B62D,F16H,27079
B29D,C08L,27075
G07C,H04L,27058
A61K,C08J,27000
A61L,C02F,26999
B09B,C02F,26971
G02B,G06K,26862
G06T,H04L,26804
A61C,A61K,26743
G02F,H04B,26737
E02D,E21B,26734
B29L,C08L,26733
B01L,C12Q,26714
G01R,G11C,26695
B60R,H02J,26643
G01N,G01S,26622
A61L,C08F,26618
A61F,B29C,26599
B32B,C09K,26556
G06F,G08C,26515
H04J,H04N,26509
B32B,B41M,26507
B01D,H01M,26476
F02M,F16K,26450
F21Y,H01L,26449
C08J,D01F,26414
C01B,H01L,26413
A23L,C07K,26372
B29C,C09J,26369
C07C,C07H,26369
G08G,H04N,26351
C21D,C22F,26301
F16M,G09F,26239
A45C,B65D,26237
C07C,C12N,26230
C08L,D21H,26216
B29C,B60R,26212
A01P,C07C,26190
A61F,D04H,26172
E04F,E04G,26165
B05D,C08L,26137
G01R,H04B,26114
H03K,H04B,26101
B65H,D01H,26097
B32B,D06M,26071
B60W,B62D,26015
C01B,C09K,25954
B01J,C23C,25936
G06F,H04J,25933
H01L,H03H,25930
A61F,A61G,25929
G01S,G06K,25909
A45C,A45F,25901
B05D,H01L,25889
A01H,C12Q,25888
C04B,C08K,25882
D04H,D06M,25876
B01D,C08G,25804
B01D,B02C,25800
G01C,G06Q,25765
D01D,D04H,25764
E05C,E06B,25736
C09D,H01L,25711
G03B,G06T,25700
A01M,B05B,25675
B23Q,B65G,25661
E02D,E04G,25655
B29C,H01B,25588
B60R,G01S,25588
G08B,H04B,25540
G01M,G01R,25538
G01S,G05D,25516
A47B,A47C,25494
C08J,D06M,25481
C08L,H01M,25454
B65H,G03B,25443
A01B,A01G,25415
B60R,G07C,25367
B23Q,B25B,25346
C21D,H01F,25323
F21V,G03B,25321
B60K,G05G,25309
C09D,G11B,25308
B01D,B29C,25287
H01F,H10N,25279
C03C,C09D,25265
B01J,C01F,25250
B01F,B02C,25249
B65G,B66F,25222
H01F,H01H,25210
G06K,H01L,25187
E04F,E04H,25169
B21B,B21C,25154
H03D,H04B,25152
A61K,C07G,25129
G06K,G09G,25124
B07B,B08B,25091
C01B,C10G,25078
H02H,H02P,25049
D01F,D02G,25044
B08B,B65G,25031
B01D,C22B,25017
C03C,H01L,25009
G01S,G08B,24958
C21B,F27D,24944
A23L,C11B,24940
B64C,G05D,24918
G06F,H04R,24906
G01F,G01P,24889
A01P,C12N,24812
G01J,H04N,24806
C07C,G01N,24801
G01M,G06F,24798
B01D,C08F,24796
G01B,G06F,24789
H01G,H05K,24750
A41D,B32B,24727
C04B,H10N,24721
G05D,G06F,24650
C09K,C10M,24596
B01J,H01L,24572
G01R,H04L,24572
B21D,B23K,24538
C01B,C08K,24527
H02B,H05K,24515
E21D,E21F,24480
G07F,H04L,24476
G01R,H10N,24470
A01K,A23K,24448
G08B,G08G,24428
A61B,G01B,24403
E02D,E03F,24389
C09J,C09K,24366
B05D,C08G,24343
A23G,A61K,24341
G01C,H04W,24333
F01D,F01K,24323
F24D,F24F,24307
B82Y,H01L,24273
C09D,D21H,24273
A61L,C08G,24252
A43B,A43C,24247
A61B,G06N,24227
G03B,G03F,24179
H02B,H02J,24179
B29C,B65H,24173
C25D,H05K,24170
C09K,G02B,24132
B23K,C23C,24078
H01Q,H05K,24037
G01S,H04L,24030
F21Y,G02B,24026
B01D,F23G,24024
G06K,H01Q,24022
A63F,G06T,24019
B26D,B29C,24015
G10L,H03M,24007
B60L,H02M,23978
C22B,F27B,23954
G08C,H04Q,23906
E03C,F16K,23898
F02C,F02K,23884
C01B,C23C,23862
A01N,A61Q,23850
C08C,C08F,23840
B82Y,H01M,23834
H03F,H03K,23809
C07C,C10L,23790
G02F,H05K,23777
A23L,C07C,23764
H01H,H05K,23748
B28B,B29C,23722
B41F,B41M,23673
C07C,C09D,23633
H04K,H04L,23616
A61F,A61P,23610
B60R,G02B,23545
B01D,C10L,23535
E05B,E06B,23534
A01N,C11D,23519
B66C,B66D,23519
G02B,H01B,23490
E02D,E21D,23461
G10L,H04B,23450
G01B,H04N,23384
B23K,B29C,23377
F02D,F16H,23348
C07C,C11B,23313
A61B,G06Q,23302
B32B,C22C,23249
B41M,C09B,23226
E02D,E04H,23209
B60R,G08B,23193
C07C,C07J,23149
F04D,F24F,23122
B60R,F16B,23109
B01D,H05K,23107
B65H,H04N,23100
G06N,H04N,23066
G02B,H05B,23037
G06N,G10L,22990
E21B,G01N,22960
B01D,C08L,22932
F21V,H01R,22914
C08K,D01F,22905
B01J,C08K,22863
D02G,D03D,22841
A47L,D06F,22839
G01S,G02B,22833
C07C,C09B,22813
A47K,E03C,22787
A61B,G03B,22754
C21B,C22B,22744
B05C,H01L,22735
B41M,B42D,22706
A01N,C12P,22685
C23C,H01B,22639
F24F,F25D,22612
G06F,G16B,22589
G02B,H02G,22588
C07C,C10M,22584
F04B,F25B,22584
B65D,G09F,22574
B60R,H05K,22564
G01S,G01V,22558
B29K,C08K,22545
B01D,C07D,22542
B01D,B05B,22530
B29C,H05K,22528
H01R,H02J,22521
G01N,G01T,22476
B01J,C12N,22443
D06M,D06P,22418
C22B,C22C,22392
A41B,A61F,22390
H01F,H01L,22379
F04B,F16K,22358
F01M,F02B,22319
G06K,H04M,22275
B82Y,C01G,22250
A61M,G01N,22244
C09B,C09K,22233
F27D,H05B,22223
C04B,F27B,22219
B63B,B63C,22208
C25D,H01L,22206
A47L,B08B,22190
G01B,G01R,22173
G05B,H02P,22148
B60T,B62D,22119
G07C,G07F,22105
B29C,D04H,22069
B25B,B25H,22067
F02B,F16H,21964
H03L,H04L,21951
A01P,A61K,21896
B29B,B32B,21862
H01B,H01F,21854
D21F,D21H,21849
C09D,G03F,21832
C22B,F27D,21826
C04B,C08F,21811
B01D,B32B,21776
G07C,G08B,21709
E04C,E04H,21689
B65H,H02G,21685
H01L,H02S,21684
E21B,E21C,21671
G06Q,G07B,21648
B41M,G11B,21628
A47K,B65D,21621
B01F,G01N,21618
G03B,G03C,21616
A01G,B05B,21603
A47K,E03D,21595
B66C,B66F,21587
G04B,G04C,21531
A01G,A01K,21486
B60J,E06B,21486
B28B,E04C,21474
B60R,B60T,21465
A23C,A61K,21434
B29L,B65D,21393
F16F,F16H,21384
C01G,H01B,21378
H04B,H04R,21378
B23K,G02B,21365
H01L,H02N,21345
A61B,G08B,21340
G08B,H04Q,21300
B22F,C04B,21295
A23L,C08B,21288
G01N,G16B,21281
C07D,C09D,21268
F02D,F02N,21257
B01J,B01L,21255
G06T,G09B,21242
C08J,H01L,21228
G06F,H04H,21223
C21B,F27B,21186
A61K,C09D,21177
B32B,H01M,21163
H04J,H04M,21161
G01C,G02B,21139
B62J,B62M,21119
G01R,G01V,21076
G09F,H10K,21063
B60L,B60R,21053
G03B,H01L,21051
G02B,H05K,21011
B60R,H01R,20976
C08G,G02F,20959
F24H,F28D,20944
F02B,F02P,20942
A61L,B65D,20941
H03K,H04N,20930
G02B,G03H,20897
B29B,B29L,20870
G08C,H04W,20850
G21C,G21D,20845
A01N,B01J,20808
A23L,B01D,20772
G09G,H01J,20759
A61M,B05B,20716
B02C,B09B,20714
C08K,C09B,20713
G01H,G01M,20709
E04F,E06B,20707
C21C,C22B,20686
A61Q,C11B,20686
F16C,F16F,20683
A01K,C02F,20637
B01J,C10L,20628
A41D,A62B,20595
B41M,B44C,20580
E01C,E02D,20562
G01N,G05D,20558
D06B,D06C,20545
C08C,C08L,20532
